feature_family,feature_id,relative_day,horizon,t3_median,t5_median,t10_median,monotonicity,all_outcome_derived_values_evaluation_only
TREND_STRUCTURE,close_vs_ma60,-5,10,-0.01561196520081042,-0.014393323195529812,-0.00634278026543807,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma60,-3,5,-0.03370939697813634,-0.02727975230550063,-0.011443102352193332,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma60,-3,10,-0.023055881203595176,-0.0188713814584095,-0.009756807921945563,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma60,-1,5,-0.046719036087649934,-0.040128567254309966,-0.024877428727074585,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma60,-1,10,-0.04045427252647488,-0.03592046183450931,-0.02859290525889734,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma60,0,5,-0.0623260416881431,-0.05399524654370166,-0.03936559985277634,NONDECREASING,True
TREND_STRUCTURE,close_vs_ma60,0,10,-0.0580701100224289,-0.05317560583438614,-0.04425414695490744,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,-20,5,-0.002105263157894737,-0.0010124873439082394,0.0022939827068995137,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,-20,10,-0.0011386319842302782,-0.00017139918871051326,0.00142213794738095,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,-10,5,-0.002198802031996354,-0.0016264231202301445,0.0020061812069620158,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,-10,10,-0.005343197698314791,-0.0047525859658932535,-0.003025643569267465,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,-5,5,-0.020047396400435506,-0.017589017589017597,-0.012391174167396,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,-5,10,-0.014082062523286133,-0.013336111689935414,-0.011699931176875547,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,-3,5,-0.028637770897832756,-0.02523765864015823,-0.018357980622131537,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,-3,10,-0.018605602126354516,-0.01732609257822606,-0.014033825116948543,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,-1,5,-0.03997994736182494,-0.03552251135894256,-0.029023746701846966,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,-1,10,-0.03235367317658773,-0.03028401067001405,-0.02768997344797064,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,0,5,-0.05495088930183167,-0.04958944850326494,-0.04229759177515781,NONDECREASING,True
TREND_STRUCTURE,distance_to_ma20,0,10,-0.05035586488930832,-0.04747774480712166,-0.04235958581738312,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,-20,5,-0.001007387508394934,-0.0014820303816227918,-0.0014652014652013039,MIXED,True
TREND_STRUCTURE,ma5_slope_5,-20,10,-0.000811362364635746,-0.000632511068943693,0.0004368719965049371,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,-10,5,-0.001269035532994972,0.0,0.0030951766830022553,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,-10,10,-0.0013697075289044933,-0.0012825994014536613,-0.0003042287800425315,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,-5,5,-0.010714285714285645,-0.010042283298097318,-0.009883864591055067,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,-5,10,-0.007840547554466039,-0.006607929515418557,-0.006147540983606596,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,-3,5,-0.021197929504560006,-0.019375672766415622,-0.01644923425978449,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,-3,10,-0.012012817092192703,-0.010895619960775768,-0.009961685823754849,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,-1,5,-0.029000517866390407,-0.0255905511811024,-0.020919175911252055,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,-1,10,-0.01896561716025404,-0.017580144777662905,-0.015969162995594668,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,0,5,-0.03323558162267838,-0.029958677685950327,-0.02564102564102553,NONDECREASING,True
TREND_STRUCTURE,ma5_slope_5,0,10,-0.02639296375266526,-0.02465331278890603,-0.02274124154886289,NONDECREASING,True
TREND_STRUCTURE,ma20_slope_5,-20,5,0.0007627765064836293,0.0009933774834437463,0.0036051026067665847,NONDECREASING,True
TREND_STRUCTURE,ma20_slope_5,-20,10,0.0015576500580197768,0.0013889692690549748,0.002395553852050594,MIXED,True
TREND_STRUCTURE,ma20_slope_5,-10,5,-0.00044447736869399415,0.0005301289980563142,0.0028804007514089416,NONDECREASING,True
TREND_STRUCTURE,ma20_slope_5,-10,10,-0.0005071444195086882,-0.0007723092045215193,0.0007543611504007544,MIXED,True
TREND_STRUCTURE,ma20_slope_5,-5,5,-0.003550505947097386,-0.0028082716364564333,-0.0015621948838118148,NONDECREASING,True
TREND_STRUCTURE,ma20_slope_5,-5,10,-0.002937437443195577,-0.0025153959580189876,-0.0015445719329214224,NONDECREASING,True
