feature_family,earliest_useful_lead_time,earliest_useful_label,promising_feature_count,robust_feature_count,status
TREND_STRUCTURE,-20,D-20,11,6,DISCOVERY_ONLY
MOMENTUM,,NONE,0,0,DISCOVERY_ONLY
VOLUME_PARTICIPATION,-5,D-5,12,4,DISCOVERY_ONLY
VOLATILITY_COMPRESSION,-20,D-20,65,1,DISCOVERY_ONLY
RELATIVE_STRENGTH,,NONE,0,0,DISCOVERY_ONLY
A_STATE_CONTEXT,,NONE,0,0,DISCOVERY_ONLY
