dimension,value,technical_evidence_observation_count,status
market,TPE,2197323,MEASURED
market,TWO,1344350,MEASURED
period,2024_PARTIAL,56401,MEASURED
period,2025,144021,MEASURED
period,2026_THROUGH_CANONICAL_END,88459,MEASURED
