cohort,scope,lifecycle_stage,feature,feature_role,analysis_type,bin,horizon,N,instrument_count,feature_mean,feature_median,endpoint_mean,endpoint_median,mfe_mean,mfe_median,mae_mean,mae_median,small_sample_flag,threshold_policy
A2,WITHIN_LIFECYCLE,MAIN_RISE,average_change_pct,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q1,5,109,91,-0.12396422018348624,0.273,0.025814089252300033,-0.001369863013698569,0.113370590404482,0.09090909090909083,-0.06616271916222954,-0.06949806949806947,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,average_change_pct,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q2,5,108,94,2.6481962962962964,2.6965500000000002,0.06465356444663548,0.04407294832826758,0.14502501825907177,0.1100000000000001,-0.04401508578297984,-0.037209302325581395,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,average_change_pct,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q3,5,108,91,4.439014814814815,4.4612,0.039327664669368635,0.015587529976019088,0.13149732471491937,0.092741935483871,-0.0537746736452916,-0.049079754601227044,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,average_change_pct,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q4,5,109,73,7.152866972477065,7.0695,0.05528216832917096,0.05138394409081648,0.15385422629105738,0.1331791023025357,-0.04761872944246761,-0.03739670567356218,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,average_change_pct,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,ALL_SMALL_SAMPLE,5,0,0,,,,,,,,,True,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,average_change_pct,RAW_EVIDENCE_VECTOR,CONTINUOUS_MONOTONICITY,ORDERED_Q1_TO_Q4,5,434,225,3.5289612903225804,3.60295,,,,,,,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,leader_change_pct,SECONDARY_PROXY,QUANTILE_BIN,Q1,5,110,84,8.2081156,9.7240715,0.05013960543244232,0.010729613733905685,0.1239651337923832,0.08652482269503547,-0.05180714591794886,-0.04634146341463419,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,leader_change_pct,SECONDARY_PROXY,QUANTILE_BIN,Q2,5,108,89,9.928455092592593,9.932641,0.049325944190693444,0.034482758620689724,0.13385311805096817,0.10247747747747749,-0.04925080691845493,-0.04958677685950408,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,leader_change_pct,SECONDARY_PROXY,QUANTILE_BIN,Q3,5,215,156,9.989452855813953,10.0,0.04303980744379089,0.028673835125448077,0.14335985654096706,0.106280193236715,-0.05501470625773018,-0.04516129032258065,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,leader_change_pct,SECONDARY_PROXY,QUANTILE_BIN,Q4,5,1,1,56.009615,56.009615,,,,,,,True,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,leader_change_pct,SECONDARY_PROXY,QUANTILE_BIN,ALL_SMALL_SAMPLE,5,0,0,,,,,,,,,True,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,MAIN_RISE,leader_change_pct,SECONDARY_PROXY,CONTINUOUS_MONOTONICITY,ORDERED_Q1_TO_Q4,5,434,225,9.628819919354838,9.958506,,,,,,,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,FERMENTING,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q1,5,41,31,0.3661780975609756,0.357143,0.03333155206049684,0.0066280442601796,0.10402539473613925,0.08474903474903484,-0.05086485723369192,-0.04729381349716427,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,FERMENTING,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q2,5,27,20,0.6333563333333333,0.642857,0.04283647695511181,-0.010471204188481686,0.13400137355934702,0.09225092250922518,-0.06164859626816101,-0.062427745664739964,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,FERMENTING,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q3,5,23,23,0.7889066086956522,0.785714,0.054778942649308035,0.0145102781136639,0.11040499084730263,0.04184100418410042,-0.0468165722176454,-0.02840909090909094,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,FERMENTING,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q4,5,31,27,0.9744771612903226,1.0,0.024892608029306863,0.015449438202247201,0.09283237361538467,0.05726872246696035,-0.049186579758124564,-0.045634920634920584,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,FERMENTING,positive_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,ALL_SMALL_SAMPLE,5,0,0,,,,,,,,,True,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,FERMENTING,positive_breadth,RAW_EVIDENCE_VECTOR,CONTINUOUS_MONOTONICITY,ORDERED_Q1_TO_Q4,5,122,64,0.6595702213114755,0.666667,,,,,,,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,FERMENTING,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q1,5,38,27,0.019781184210526315,0.0,0.02491877136437851,0.012833858375564944,0.08020470499594441,0.05762173357866052,-0.04437708261872918,-0.03183940022632975,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
A2,WITHIN_LIFECYCLE,FERMENTING,strong_breadth,RAW_EVIDENCE_VECTOR,QUANTILE_BIN,Q2,5,24,17,0.15103008333333334,0.166667,0.024561005324053115,0.0066280442601796,0.10900103778673154,0.08936870449785583,-0.060993276681876867,-0.04930191972076792,False,NO_ARBITRARY_THRESHOLD; DESCRIPTIVE_QUANTILES_ONLY
