cohort,lifecycle_stage,horizon,barrier_pair,N,instrument_count,matured_barrier_count,up_first_count,down_first_count,same_session_order_unknown_count,neither_by_h_count,not_matured_count,up_first_rate,down_first_rate,same_session_order_unknown_rate,definition
A2,MATURE,10,+10%_BEFORE_-5%,161,119,157,65,82,0,10,4,0.4140127388535032,0.5222929936305732,0.0,first future daily High/Low barrier; same-session order remains unknown
A2,DECLINING,10,+5%_BEFORE_-5%,272,135,267,145,96,18,8,5,0.5430711610486891,0.3595505617977528,0.06741573033707865,first future daily High/Low barrier; same-session order remains unknown
A2,DECLINING,10,+10%_BEFORE_-5%,272,135,267,114,139,0,14,5,0.42696629213483145,0.5205992509363296,0.0,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,SPROUTING,10,+5%_BEFORE_-5%,16,13,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,SPROUTING,10,+10%_BEFORE_-5%,16,13,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,FERMENTING,10,+5%_BEFORE_-5%,58,34,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,FERMENTING,10,+10%_BEFORE_-5%,58,34,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,MAIN_RISE,10,+5%_BEFORE_-5%,185,121,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,MAIN_RISE,10,+10%_BEFORE_-5%,185,121,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,MATURE,10,+5%_BEFORE_-5%,70,51,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,MATURE,10,+10%_BEFORE_-5%,70,51,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,DECLINING,10,+5%_BEFORE_-5%,145,86,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
LEGACY5,DECLINING,10,+10%_BEFORE_-5%,145,86,0,0,0,0,0,0,,,,first future daily High/Low barrier; same-session order remains unknown
BOTH,SPROUTING,10,+5%_BEFORE_-5%,6,3,3,1,1,1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,first future daily High/Low barrier; same-session order remains unknown
BOTH,SPROUTING,10,+10%_BEFORE_-5%,6,3,3,0,2,0,1,0,0.0,0.6666666666666666,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,FERMENTING,10,+5%_BEFORE_-5%,26,11,13,8,4,0,1,0,0.6153846153846154,0.3076923076923077,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,FERMENTING,10,+10%_BEFORE_-5%,26,11,13,5,6,0,2,0,0.38461538461538464,0.46153846153846156,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,MAIN_RISE,10,+5%_BEFORE_-5%,84,39,42,27,11,4,0,0,0.6428571428571429,0.2619047619047619,0.09523809523809523,first future daily High/Low barrier; same-session order remains unknown
BOTH,MAIN_RISE,10,+10%_BEFORE_-5%,84,39,42,23,17,0,2,0,0.5476190476190477,0.40476190476190477,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,MATURE,10,+5%_BEFORE_-5%,28,12,14,9,5,0,0,0,0.6428571428571429,0.35714285714285715,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,MATURE,10,+10%_BEFORE_-5%,28,12,14,4,8,0,2,0,0.2857142857142857,0.5714285714285714,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,DECLINING,10,+5%_BEFORE_-5%,44,19,22,13,9,0,0,0,0.5909090909090909,0.4090909090909091,0.0,first future daily High/Low barrier; same-session order remains unknown
BOTH,DECLINING,10,+10%_BEFORE_-5%,44,19,22,10,10,0,2,0,0.45454545454545453,0.45454545454545453,0.0,first future daily High/Low barrier; same-session order remains unknown
