review_order,case_id,stock_code,anchor_date,sample_stratum,historical_outcome_label_or_proxy,owner_label,owner_label_source,owner_fields_blank,panel_event_id,panel_match,reconciliation_status,source_only_attribution,source_failure_like_path,raw_endpoint_t10,raw_mfe_t10,raw_mae_t10,owner_label_must_be_supplied_before_clean_success_failure_comparison
12,A2-12,6654,2025-01-09,SUCCESS_BORDERLINE,REVIEW_SUCCESS_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,2a63834019a6970ce0408a1874f7bf7b8c6549ccd8bdeb10e6481290deb9571d,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,SUCCESSFUL_TRADABLE_POSITIVE_EXCURSION_CANDIDATE_SOURCE_DESCRIPTIVE,False,0.0011123470522802492,0.023359288097886566,-0.05005561735261399,True
13,A2-13,6416,2026-05-05,SUCCESS_BORDERLINE,REVIEW_SUCCESS_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,e7e9aeacb0b30b4ef0d79d24ace54808be15f99beac016c7495a7e2f7dbab78f,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,SUCCESSFUL_TRADABLE_POSITIVE_EXCURSION_CANDIDATE_SOURCE_DESCRIPTIVE,False,0.001145475372279492,0.07101947308132872,-0.050400916380297756,True
14,A2-14,1476,2025-08-14,SUCCESS_BORDERLINE,REVIEW_SUCCESS_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,d84ed94aded0ba32011f2f4cbf22f8343ce281ab487e82c3434e5899fa0eae3c,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,SUCCESSFUL_TRADABLE_POSITIVE_EXCURSION_CANDIDATE_SOURCE_DESCRIPTIVE,False,0.0012285012285011554,0.05651105651105648,-0.03685503685503688,True
15,A2-15,6643,2025-02-13,SUCCESS_BORDERLINE,REVIEW_SUCCESS_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,6182d074a58621dcdbab67e2956a7cc1ee87480edc95d5c81eb04d516e8d3f5a,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,SUCCESSFUL_TRADABLE_POSITIVE_EXCURSION_CANDIDATE_SOURCE_DESCRIPTIVE,False,0.001312335958005173,0.09448818897637801,-0.034120734908136496,True
16,A2-16,8150,2026-04-15,FAILURE_STRONG_SETUP,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,de861b116072d5c12f4edff4179754ea99e9f475fbd249ea580b35290d49fd89,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,SUCCESSFUL_TRADABLE_POSITIVE_EXCURSION_CANDIDATE_SOURCE_DESCRIPTIVE,False,0.0,0.20447761194029845,-0.04179104477611939,True
17,A2-17,3630,2024-12-19,FAILURE_STRONG_SETUP,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,6c14b7d45c0f623028b9655ed383de9dc89f4037ed4c48f4fd33b2c9fa910802,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,SUCCESSFUL_TRADABLE_POSITIVE_EXCURSION_CANDIDATE_SOURCE_DESCRIPTIVE,False,0.0,0.11818181818181817,-0.08727272727272717,True
18,A2-18,2472,2025-10-21,FAILURE_STRONG_SETUP,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,df0b603cd7399fdafe4d796cb036d92f253cd859723ca20d635d98e83d477449,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,LATE_EXTENDED_CANDIDATE_SOURCE_DESCRIPTIVE,False,0.0,0.14563106796116498,-0.024271844660194164,True
19,A2-19,2467,2025-12-08,FAILURE_STRONG_SETUP,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,6e0fcc89e4d5eb0de70791e8e85672e883358e1e951c242e038695a3cca80858,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,LATE_EXTENDED_CANDIDATE_SOURCE_DESCRIPTIVE,False,0.0,0.11037527593818974,-0.04194260485651213,True
20,A2-20,3443,2025-06-25,FAILURE_STRONG_SETUP,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,30467b4ba6e57daa77136884bd2ff35ffd511787f03e0d516a7e4fcf5997d0ec,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,SUCCESSFUL_TRADABLE_POSITIVE_EXCURSION_CANDIDATE_SOURCE_DESCRIPTIVE,False,0.0,0.09795918367346945,-0.020408163265306145,True
21,A2-21,6204,2025-10-20,FAILURE_TYPICAL,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,f3d131b32e3367952b060daea4690cd2994432ac233e8e8209f316a358c4428d,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,LATE_EXTENDED_CANDIDATE_SOURCE_DESCRIPTIVE,False,-0.05493133583021215,0.08739076154806491,-0.09737827715355807,True
22,A2-22,8261,2025-07-18,FAILURE_TYPICAL,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,a23f0eebf482017e94a7e4ee271b17a18611d083ac169f2735f8db5793badd28,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,GENUINE_CLEAN_FALSE_BREAKOUT_CANDIDATE_SOURCE_DESCRIPTIVE,True,-0.054970760233918115,0.05263157894736836,-0.07485380116959073,True
23,A2-23,3441,2024-12-25,FAILURE_TYPICAL,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,29207626b7fc022aa766f596bd9c53141d96c7caf4e04d4e0f9ad8fd9cc15ad3,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,SUCCESSFUL_TRADABLE_POSITIVE_EXCURSION_CANDIDATE_SOURCE_DESCRIPTIVE,False,-0.054973821989528826,0.09947643979057585,-0.05628272251308919,True
24,A2-24,6642,2026-02-23,FAILURE_TYPICAL,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,8dc01be54e948910ef249515472b4f22aebeda6516ff3f9ebce09166cc8eec8a,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,SUCCESSFUL_TRADABLE_POSITIVE_EXCURSION_CANDIDATE_SOURCE_DESCRIPTIVE,False,-0.054888507718696355,0.005145797598627766,-0.07375643224699824,True
25,A2-25,3556,2025-08-29,FAILURE_TYPICAL,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,5ea103e562572a470ccdc2212b616958c69012b69d6bcf164774b37db6fbed4d,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,LATE_EXTENDED_CANDIDATE_SOURCE_DESCRIPTIVE,False,-0.05500000000000005,0.006250000000000089,-0.07250000000000001,True
26,A2-26,2327,2025-08-05,FAILURE_CLEAR,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,976f47a82c34111ceae92d017a02e1cb23fdcfd317dfed9fdefa770be36f1662,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,CORPORATE_ACTION_OR_PRICE_DATA_QUALITY_SUPPRESSED,False,,,,True
27,A2-27,8277,2025-11-13,FAILURE_CLEAR,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,b29d00658290c1e3130406d2ec923e61e63d51a37a58b7056c26f073fc2f85c5,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,GENUINE_CLEAN_FALSE_BREAKOUT_CANDIDATE_SOURCE_DESCRIPTIVE,True,-0.5075987841945289,-0.009118541033434568,-0.5349544072948328,True
28,A2-28,3055,2026-07-15,FAILURE_CLEAR,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,51c3d6d169e6c606954724408b4e4d1650655d2d55a29082509167e7061a55a1,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,LATE_EXTENDED_CANDIDATE_SOURCE_DESCRIPTIVE,True,-0.4637305699481865,0.041450777202072464,-0.4637305699481865,True
29,A2-29,3675,2026-07-06,FAILURE_CLEAR,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,70e4aafb0d0459a25b039bd921e0bd66d3cd83407d37e93d6ffca6d31eb52fb9,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,GENUINE_CLEAN_FALSE_BREAKOUT_CANDIDATE_SOURCE_DESCRIPTIVE,True,-0.40555555555555556,-0.004444444444444473,-0.42666666666666664,True
30,A2-30,6668,2025-03-28,FAILURE_CLEAR,REVIEW_FAILURE_PROXY,,NOT_AVAILABLE_IN_REPOSITORY_ARTIFACT,True,8502ff6d0d4b2f924a1ebbde34cff1bdbbcae3738768e4e12fce94a6ae19f980,True,RECONCILED_SOURCE_ROW_OWNER_LABEL_MISSING,GENUINE_CLEAN_FALSE_BREAKOUT_CANDIDATE_SOURCE_DESCRIPTIVE,True,-0.38511029411764697,0.014705882352941346,-0.4283088235294117,True
