group,horizon,N,EVALUABLE_N,mean_return,median_return,win_rate,delta_vs_all_ma60_mean,delta_vs_all_ma60_median,delta_vs_all_ma60_win_rate
ALL_MA60_CALCULABLE,1,23366,22861,0.002650442649072428,0.0,0.4756134902235248,0.0,0.0,0.0
ALL_MA60_CALCULABLE,3,23366,21853,0.00896450852459627,0.0,0.4944858829451334,0.0,0.0,0.0
ALL_MA60_CALCULABLE,5,23366,20846,0.01616932513778517,0.002577388069616049,0.5066199750551664,0.0,0.0,0.0
ALL_MA60_CALCULABLE,10,23366,18335,0.029284173838267865,0.005847953216374269,0.5170984455958549,0.0,0.0,0.0
METHOD_A_ELIGIBLE,1,15886,15595,0.002940682592923023,0.0,0.4721385059313883,0.0002902399438505952,0.0,-0.003474984292136496
METHOD_A_ELIGIBLE,3,15886,15026,0.008823432144951631,-0.0025189076696614386,0.48030081192599494,-0.00014107637964463904,-0.0025189076696614386,-0.014185071019138462
METHOD_A_ELIGIBLE,5,15886,14455,0.01574626974744684,0.0,0.4936700103770322,-0.0004230553903383297,-0.002577388069616049,-0.012949964678134251
METHOD_A_ELIGIBLE,10,15886,13073,0.02970801665961019,0.004048582995951417,0.5085290292970244,0.0004238428213423247,-0.0017993702204228516,-0.008569416298830568
