segment,start_date,end_date,group,horizon,N,EVALUABLE_N,CENSORED_N,mean_return,median_return,win_rate
VALIDATION,2026-07-01,2026-07-31,A2_CONFIRMED_BREAKOUT,10,73,52,1,-0.11469185226243456,-0.10554096416165382,0.11538461538461539
HOLDOUT,2026-08-01,2026-08-13,ALL_MA60_CALCULABLE,1,1974,1746,215,0.011952371474555886,0.006070611704414522,0.5733104238258877
HOLDOUT,2026-08-01,2026-08-13,ALL_MA60_CALCULABLE,3,1974,1300,648,0.028607264120097606,0.017466065443610825,0.6646153846153846
HOLDOUT,2026-08-01,2026-08-13,ALL_MA60_CALCULABLE,5,1974,861,1085,0.045896763535393334,0.03508771929824561,0.7131242740998839
HOLDOUT,2026-08-01,2026-08-13,ALL_MA60_CALCULABLE,10,1974,0,1974,,,
HOLDOUT,2026-08-01,2026-08-13,METHOD_A_ELIGIBLE,1,679,585,87,0.0046922807011532345,0.0,0.48376068376068376
HOLDOUT,2026-08-01,2026-08-13,METHOD_A_ELIGIBLE,3,679,408,257,0.011167340289021789,0.0047749565913037155,0.5269607843137255
HOLDOUT,2026-08-01,2026-08-13,METHOD_A_ELIGIBLE,5,679,253,413,0.016816401421785077,0.0022650056625141564,0.5138339920948617
HOLDOUT,2026-08-01,2026-08-13,METHOD_A_ELIGIBLE,10,679,0,679,,,
HOLDOUT,2026-08-01,2026-08-13,CORE_V0_CANDIDATES,1,115,99,16,0.0074909637695051365,0.0,0.45454545454545453
HOLDOUT,2026-08-01,2026-08-13,CORE_V0_CANDIDATES,3,115,72,43,0.015023052081773429,0.00356791312539029,0.5138888888888888
HOLDOUT,2026-08-01,2026-08-13,CORE_V0_CANDIDATES,5,115,45,68,0.03720503361034157,0.007751937984496124,0.6222222222222222
HOLDOUT,2026-08-01,2026-08-13,CORE_V0_CANDIDATES,10,115,0,115,,,
HOLDOUT,2026-08-01,2026-08-13,A1_PRE_BREAKOUT,1,87,74,13,0.012095199854542214,0.0005235602094240838,0.5
HOLDOUT,2026-08-01,2026-08-13,A1_PRE_BREAKOUT,3,87,53,34,0.012540499855053166,0.003937007874015748,0.5471698113207547
HOLDOUT,2026-08-01,2026-08-13,A1_PRE_BREAKOUT,5,87,32,54,0.03228289840551836,0.0046966327895504225,0.5625
HOLDOUT,2026-08-01,2026-08-13,A1_PRE_BREAKOUT,10,87,0,87,,,
HOLDOUT,2026-08-01,2026-08-13,A2_CONFIRMED_BREAKOUT,1,28,25,3,-0.006137575042204611,-0.011673151750972763,0.32
HOLDOUT,2026-08-01,2026-08-13,A2_CONFIRMED_BREAKOUT,3,28,19,9,0.021948066187887846,-0.0038461538461538464,0.42105263157894735
HOLDOUT,2026-08-01,2026-08-13,A2_CONFIRMED_BREAKOUT,5,28,13,14,0.0493210587299064,0.03977272727272727,0.7692307692307693
HOLDOUT,2026-08-01,2026-08-13,A2_CONFIRMED_BREAKOUT,10,28,0,28,,,
