market,reclaim_status,loss_event_count,event_count,share_of_loss_events,median_sessions_to_reclaim,median_depth_pct,path_category_counts
ALL,RECLAIMED,349,254,0.7277936962750716,2.5,-0.05753124325136383,"{'CLOSE_BELOW_REFERENCE_THEN_RECLAIM': 198, 'TEMPORARY_INTRADAY_LOSS_RECLAIMED': 56}"
ALL,NOT_RECLAIMED_WITHIN_H10,349,95,0.2722063037249284,,-0.17342342342342343,{'LOSS_NO_RECLAIM_WITHIN_H10': 95}
TPE,RECLAIMED,228,169,0.7412280701754386,3,-0.057251908396946605,"{'CLOSE_BELOW_REFERENCE_THEN_RECLAIM': 133, 'TEMPORARY_INTRADAY_LOSS_RECLAIMED': 36}"
TPE,NOT_RECLAIMED_WITHIN_H10,228,59,0.25877192982456143,,-0.1658536585365854,{'LOSS_NO_RECLAIM_WITHIN_H10': 59}
TWO,RECLAIMED,121,85,0.7024793388429752,2,-0.05882352941176472,"{'TEMPORARY_INTRADAY_LOSS_RECLAIMED': 20, 'CLOSE_BELOW_REFERENCE_THEN_RECLAIM': 65}"
TWO,NOT_RECLAIMED_WITHIN_H10,121,36,0.2975206611570248,,-0.18385441718775047,{'LOSS_NO_RECLAIM_WITHIN_H10': 36}
