market,metric,event_count,p25_sessions,median_sessions,p75_sessions,max_sessions
ALL,FIRST_REFERENCE_LOW_LOSS,349,1,1,3,10
ALL,FIRST_REFERENCE_CLOSE_LOSS,293,1,2,4,10
ALL,REFERENCE_RECLAIM,254,1.0,2.5,5.0,10
TPE,FIRST_REFERENCE_LOW_LOSS,228,1.0,1.0,3.0,10
TPE,FIRST_REFERENCE_CLOSE_LOSS,192,1.0,2.0,3.0,10
TPE,REFERENCE_RECLAIM,169,1,3,5,10
TWO,FIRST_REFERENCE_LOW_LOSS,121,1,1,4,10
TWO,FIRST_REFERENCE_CLOSE_LOSS,101,1,2,4,10
TWO,REFERENCE_RECLAIM,85,1,2,4,10
