entry_proxy,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven
THEORETICAL_REFERENCE_FILL,1,483,315,61,0.0,0.0,0.04768353690902168,0.03481894150417819,0.04523682004878787,0.7204968944099379,-0.05541049152361653,-0.003425019060465606,0.1051125900983848,0.17339284798111956,0.08776622423708247,0.08714285714285697,0.043065010934324466,0.12544102280410596,0.016045976636801313,0.00421940928270037,-0.01923451381282698,0.043218698137562295,False
THEORETICAL_REFERENCE_FILL,3,466,309,59,0.0,0.0,0.05129517486076078,0.031143927705532204,0.04187649685654019,0.628755364806867,-0.10621504474272928,-0.026192737108655578,0.11679314661242379,0.2616404932123062,0.13337302379041277,0.11869925199438558,0.05221346214350492,0.18481270790572585,-0.013799087460978925,-0.011044838017174097,-0.05388252124003423,0.02441119691119681,False
THEORETICAL_REFERENCE_FILL,5,448,303,57,0.0,0.0,0.06011067621155075,0.04057536966046005,0.045700042354424125,0.6205357142857143,-0.14575445027343487,-0.03959314659667035,0.13220267118931522,0.3730572755417955,0.16373187102346826,0.14055678875323707,0.06662404092071611,0.2202156122127794,-0.03140645726155778,-0.022868650910158606,-0.08134706643658324,0.014647459841695631,False
THEORETICAL_REFERENCE_FILL,10,409,281,51,0.0,0.0,0.07579163737656791,0.03669724770642202,0.05465200945166588,0.60880195599022,-0.2079166791637923,-0.05418138987043586,0.17706821480406387,0.4894514853906027,0.22327738114038234,0.1796759941089836,0.09342560553633228,0.29459459459459447,-0.06037219458551746,-0.042065009560229405,-0.1149068322981367,0.0027855153203342198,False
OBSERVABLE_A2_CLOSE,1,483,315,61,0.03368447888789881,0.02795031055900621,0.013358059710904901,0.005284015852047519,0.014836965447841724,0.5383022774327122,-0.08452095669516542,-0.028204438427806122,0.06296641791044777,0.09964039682280557,0.05209696818378636,0.04893617021276597,0.019010508367774404,0.09743820592568342,-0.017155729396428204,-0.020050125313283096,-0.04767749781217684,0.0050726871115220895,False
OBSERVABLE_A2_CLOSE,3,466,309,59,0.033762096925310306,0.027400851867123932,0.016896545609707853,0.0026801608755850914,0.009304624443718622,0.5042918454935622,-0.1332304450044486,-0.05577370564281561,0.07294375926392027,0.20658902318631772,0.09600978282307364,0.07697224573282546,0.027940626314309602,0.1477302749156914,-0.045964040801128425,-0.042785141650341085,-0.08508258365462423,-0.00757773807967696,False
OBSERVABLE_A2_CLOSE,5,448,303,57,0.033664920264717506,0.027350902316170433,0.025525833037018976,0.011245195892847004,0.012399915298587381,0.5446428571428571,-0.1676934523809524,-0.07208375634517764,0.087830493021951,0.320861697415079,0.12548538676994148,0.09873370357241329,0.03926238547675609,0.17652769845802402,-0.0628411790588428,-0.05200974693731564,-0.10730881571959633,-0.01516056952816458,False
OBSERVABLE_A2_CLOSE,10,409,281,51,0.03390035280525922,0.027379400260756137,0.0404407723753024,-0.0014662756598241566,0.020168140443991952,0.4938875305623472,-0.21983260036884664,-0.08440366972477065,0.1390593047034765,0.42264273888441906,0.18283056318457805,0.1317157712305026,0.060924369747899165,0.24149659863945572,-0.09110493602074164,-0.07657657657657657,-0.1462829736211031,-0.023076923076923106,False
NEXT_SESSION_OPEN,1,483,315,61,0.05568440936544615,0.04306220095693769,-0.0075734630929364544,-0.006369426751592355,-0.008445057443163487,0.37060041407867494,-0.08448146742308432,-0.03685733153045506,0.020347487925735486,0.07318715235381897,0.030708051024520622,0.021671826625387025,0.004158569762922726,0.05086121019312961,-0.037561208470686565,-0.031876138433515444,-0.05377150123820357,-0.012579113924050589,False
NEXT_SESSION_OPEN,3,466,309,59,0.05643336349092194,0.04313603875007377,-0.005262100551242421,-0.012591829184504022,-0.011195901061124123,0.4206008583690987,-0.14058993516902357,-0.06720036539279728,0.04719927332497087,0.18379203167393166,0.07222578734817234,0.05512625714492436,0.014995353552420376,0.10499309392265188,-0.06635575992357864,-0.057928827844545006,-0.09994456762749443,-0.0244842876421823,False
NEXT_SESSION_OPEN,5,448,303,57,0.05713996247053196,0.04324672931638107,0.0024914601105537745,-0.008709876250533377,-0.008492499712804497,0.45089285714285715,-0.17254332997875432,-0.08730903702043269,0.06465743388934736,0.251507734263233,0.10007054930035841,0.073480290100437,0.02597547380156079,0.14057179109364765,-0.08356971662280195,-0.07142236516645295,-0.12424114819103774,-0.032048043044820174,True
NEXT_SESSION_OPEN,10,409,281,51,0.05835169159730581,0.045454545454545414,0.016437032770136667,-0.018045112781954975,-0.0026046483131369038,0.4449877750611247,-0.2453827102252624,-0.10212765957446812,0.09765625,0.40001925783275266,0.15510540200308243,0.10392609699769051,0.04018547140649131,0.2127659574468086,-0.11197335271384014,-0.09706546275395034,-0.16216216216216217,-0.04230317273795525,True
NEXT_SESSION_CLOSE,1,480,314,60,0.047850795522454255,0.034746502652227784,0.002786765093016747,-0.0033252319929297225,0.0014240496587419832,0.45,-0.07879189141822285,-0.03635016202680805,0.04066093442453117,0.09943714821763616,0.0415687132528155,0.03296593162174366,0.010700058297706927,0.07910184815848942,-0.027338864384339804,-0.02744970798183005,-0.05513844411466068,-0.005190100458632552,False
NEXT_SESSION_CLOSE,3,464,309,58,0.04928575775708942,0.0377993677781151,0.004812134385027008,-0.012568111821843142,-0.0053210822802038345,0.44612068965517243,-0.13117403228822536,-0.06333004797416045,0.04650332550860725,0.22262026832567886,0.07832749347931289,0.056364502806311556,0.019136675681298176,0.10805627705627696,-0.055298408142722986,-0.05142336751214244,-0.09130866941046195,-0.01900269541778976,True
NEXT_SESSION_CLOSE,5,443,300,56,0.05044229436141803,0.03982300884955747,0.01828290290098423,-0.006993006993006978,0.0038917012933466005,0.4672686230248307,-0.15822729316546763,-0.07052219703064433,0.07698437003765712,0.3072536496350362,0.10957564061808422,0.07441860465116279,0.027726599874208224,0.15996989397443173,-0.07248025738959238,-0.06786427145708585,-0.1188608492956319,-0.023679706060293015,False
NEXT_SESSION_CLOSE,10,408,280,50,0.05191486785697212,0.04039968470348221,0.02152321445330839,-0.006526173450678352,0.0027717365156058505,0.4681372549019608,-0.232616513264521,-0.09447506654417825,0.09494989834446693,0.4142825311942957,0.16176332221121603,0.10026455026455028,0.04718284807355516,0.22124673247239685,-0.10339865601959913,-0.09338634857521538,-0.15201463230943027,-0.035222697017010446,False
