entry_proxy,extension_band,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven
OBSERVABLE_A2_CLOSE,GT_0_TO_1PCT,5,91,84,37,0.0054558209088924475,0.0052631578947368585,0.020863854921916086,0.0018518518518517713,0.00845860840736759,0.5164835164835165,-0.15200109649122806,-0.07151854761734705,0.08837604116929276,0.2710952909270218,0.10802735253565539,0.07058823529411762,0.028823629626474778,0.17510859103918142,-0.05590697863593105,-0.0431034482758621,-0.09882858936514083,-0.010705596107055959,False
OBSERVABLE_A2_CLOSE,GT_0_TO_1PCT,10,86,79,34,0.005413136115284809,0.0051761082094549105,0.017553641550693572,-0.0014727828003262555,0.002132469853214049,0.47674418604651164,-0.21099243310270965,-0.08054695092322636,0.08106285547005687,0.3405062028137161,0.1512140088642968,0.10163043478260869,0.0383992327929189,0.20382750801470012,-0.08728262677722186,-0.07104682402609863,-0.1474789915966387,-0.019142467113427625,False
OBSERVABLE_A2_CLOSE,GT_1_TO_2PCT,1,95,87,45,0.014781469541555415,0.014705882352941124,0.011397401585506057,0.003968253968253954,0.012815620048453581,0.5157894736842106,-0.08769880956221573,-0.024367528329460264,0.05938243968304724,0.09949132775861638,0.04727761827394754,0.040100250626566414,0.015830175639284016,0.09704641350210963,-0.019140162343614316,-0.01980198019801993,-0.043188834576794344,0.0,False
OBSERVABLE_A2_CLOSE,GT_1_TO_2PCT,3,92,84,44,0.014855868294938197,0.01522527078855307,0.01036213511395651,0.001511578500106192,0.006236986431291648,0.5108695652173914,-0.11803970489604296,-0.058093317972350206,0.06381939408589149,0.1547854603678242,0.0895521688443697,0.06738794180169894,0.018531058143734125,0.1534274769201484,-0.04129986624386941,-0.02775094159980962,-0.07718534477971636,-0.0029644268774703386,False
OBSERVABLE_A2_CLOSE,GT_1_TO_2PCT,5,90,82,43,0.014888459337687955,0.01522527078855307,0.010258947485836062,0.0011848341232227888,0.0031365308053160315,0.5,-0.17901489946477656,-0.06396404396818822,0.0553910497150511,0.22173847087378631,0.11296440095390338,0.08388338833883391,0.023366031081230032,0.1822608572090183,-0.0619922607573511,-0.04328078338773522,-0.10517112800985293,-0.010903446744551487,False
OBSERVABLE_A2_CLOSE,GT_1_TO_2PCT,10,80,72,37,0.014874265374485338,0.015306481053530607,0.031086582705991767,-0.008303522289488163,0.013292628927790762,0.4625,-0.26977953121373865,-0.1084132745657247,0.1434384712392583,0.46961811526086933,0.18203064358897925,0.14240668593088845,0.03558638538625891,0.2669533169533169,-0.09829565140895903,-0.057343716201600725,-0.14421451921297726,-0.01934812814804282,False
OBSERVABLE_A2_CLOSE,GT_2_TO_3PCT,1,57,50,32,0.024703447142560654,0.024468085106382986,0.01971463626848092,0.010928961748633892,0.022112288445824375,0.5789473684210527,-0.08434175955921738,-0.028656126482213384,0.07390300230946889,0.0996441281138789,0.05278442852199804,0.05957446808510647,0.011990407673860837,0.09876543209876543,-0.017072037110580654,-0.027667984189723382,-0.042910447761194126,0.008247422680412342,False
OBSERVABLE_A2_CLOSE,GT_2_TO_3PCT,3,55,48,32,0.024639463590054173,0.024468085106382986,0.032085266246132504,0.02453271028037385,0.022629799182750977,0.5636363636363636,-0.07670374770493574,-0.044466050031532534,0.08715696894666258,0.21483535080035,0.10068717566272656,0.07476635514018692,0.027734402311977102,0.14689625519967253,-0.035967075155733344,-0.03937007874015752,-0.06659005253540429,0.008456466972788457,False
OBSERVABLE_A2_CLOSE,GT_2_TO_3PCT,5,53,47,30,0.02463255774391353,0.024468085106382986,0.05433244558371506,0.03546099290780136,0.03862130826078757,0.6792452830188679,-0.1445824287601148,-0.0199530516431925,0.10526315789473673,0.3686832740213522,0.14000006046977823,0.12185929648241212,0.060924369747899165,0.16546762589928066,-0.04937720916311352,-0.04375804375804382,-0.08373205741626799,0.0,False
OBSERVABLE_A2_CLOSE,GT_2_TO_3PCT,10,45,41,24,0.024669998800831868,0.024719101123595433,0.06254997988130472,0.03112033195020736,0.035718009067070976,0.6,-0.11285278355523844,-0.03814432989690719,0.10067114093959728,0.42352420698008864,0.19138591305255648,0.1600877192982455,0.09720372836218383,0.22065727699530502,-0.07224195934568985,-0.05515587529976018,-0.12676056338028174,-0.022189349112425982,False
