market,entry_proxy,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven,a2_event_count,reference_loss_rate_h10,reference_reclaim_rate_after_loss_h10
TPE,THEORETICAL_REFERENCE_FILL,1,318,212,60,0.0,0.0,0.04484271906901807,0.031931735657225846,0.0421103180118711,0.7075471698113207,-0.05260932961747858,-0.005027073652300512,0.0995316688968147,0.17058716078135885,0.08305699125702458,0.08012777642273228,0.03540404040404033,0.11870346593177744,0.014103463693392401,0.002673592809387615,-0.017629678524560433,0.038030167869596954,False,322,0.7625418060200669,0.7412280701754386
TPE,THEORETICAL_REFERENCE_FILL,3,305,208,58,0.0,0.0,0.04292661365685591,0.026506024096385472,0.03530494825406739,0.6,-0.10186443831363867,-0.028571428571428692,0.10504201680672276,0.2336184230718079,0.12227819728369492,0.10817941952506605,0.04296296296296309,0.17697594501718217,-0.015249457573847935,-0.011904761904761862,-0.052959501557632294,0.023376623376623273,False,322,0.7625418060200669,0.7412280701754386
TPE,THEORETICAL_REFERENCE_FILL,5,293,205,56,0.0,0.0,0.056105604648994216,0.03344481605351168,0.041433006749546475,0.621160409556314,-0.13628944155259942,-0.0382436260623229,0.1270903010033444,0.3035649092666163,0.15237863787663813,0.12832369942196542,0.05860805860805862,0.21061946902654882,-0.031064291820289115,-0.022727272727272707,-0.07624309392265205,0.013531799729364025,False,322,0.7625418060200669,0.7412280701754386
TPE,THEORETICAL_REFERENCE_FILL,10,264,188,50,0.0,0.0,0.06510681702822275,0.02887217126061914,0.043310139947454314,0.5984848484848485,-0.20986810533577277,-0.053336522363071015,0.12898057245575217,0.4312370970112039,0.20832980484209296,0.16378965552454217,0.0798246739784989,0.26845513413506017,-0.058472958575019905,-0.04094320534537932,-0.10914152427253881,-0.0009293680297397244,False,322,0.7625418060200669,0.7412280701754386
TPE,OBSERVABLE_A2_CLOSE,1,318,212,60,0.03251242855758904,0.025424289618831808,0.011830691525848014,0.0019688777784238054,0.012428893815594942,0.5094339622641509,-0.07733230361871138,-0.027737601078695384,0.05668746844231265,0.09951628859338339,0.048749900658029054,0.04206315808525751,0.01515511210104803,0.09486456567613383,-0.01783491961571363,-0.021156558533145242,-0.04665875082988613,0.0025795662770632943,False,322,0.7625418060200669,0.7412280701754386
TPE,OBSERVABLE_A2_CLOSE,3,305,208,58,0.03255270214529171,0.025149700598802394,0.0100827215067321,-0.002262443438914019,0.004225705525989231,0.4786885245901639,-0.1270186145989202,-0.05555555555555558,0.06443618339529134,0.1634394865711593,0.08660127418031688,0.0714285714285714,0.01982378854625555,0.13186813186813207,-0.046134785226700704,-0.04264099037138924,-0.08270676691729328,-0.008053691275167751,False,322,0.7625418060200669,0.7412280701754386
TPE,OBSERVABLE_A2_CLOSE,5,293,205,56,0.03214216451878038,0.024468085106382986,0.023184918776027696,0.007692307692307665,0.009958589250414958,0.5358361774744027,-0.14668966761376448,-0.06713780918727918,0.07692307692307687,0.2679178994082834,0.11619192298731623,0.09012875536480691,0.029668411867364686,0.16852540272614625,-0.0610412357280431,-0.05333333333333323,-0.10465116279069764,-0.016233766233766267,False,322,0.7625418060200669,0.7412280701754386
TPE,OBSERVABLE_A2_CLOSE,10,264,188,50,0.03234360072287724,0.02497943045207296,0.03157382465131843,-0.0033958676928714793,0.01071759112149826,0.4772727272727273,-0.22057738686338485,-0.07585974678997937,0.09853735045229062,0.39284725559934613,0.17004162931670078,0.12294867583908142,0.04990613718411557,0.22505879675290197,-0.08777218172929331,-0.07330111011430696,-0.1349048465183354,-0.02297532426447324,False,322,0.7625418060200669,0.7412280701754386
TPE,NEXT_SESSION_OPEN,1,318,212,60,0.05286268583776548,0.041110038092172285,-0.007611561647547505,-0.008107524458715987,-0.008611562792488304,0.37735849056603776,-0.08073279983003438,-0.03672533233476877,0.020567402105761357,0.07184730250481686,0.028902724960463744,0.018867445403758176,0.0038337053571427804,0.0458305481283422,-0.03679672179684841,-0.03080311758725851,-0.053721326254632884,-0.013130195925907917,False,322,0.7625418060200669,0.7412280701754386
TPE,NEXT_SESSION_OPEN,3,305,208,58,0.053121346747330773,0.040322580645161255,-0.009866849686248281,-0.014545454545454417,-0.01411270416743843,0.39344262295081966,-0.13742832230599578,-0.06704707560627676,0.04111600587371522,0.15321727257211132,0.06510634753722497,0.04791666666666661,0.011673151750972721,0.09967845659163999,-0.06467397574260787,-0.055928411633109576,-0.09706546275395034,-0.02515723270440251,False,322,0.7625418060200669,0.7412280701754386
TPE,NEXT_SESSION_OPEN,5,293,205,56,0.053956331208025586,0.040935672514619936,0.0018410068546253623,-0.0077821011673151474,-0.009187068380701525,0.447098976109215,-0.1595241058681407,-0.07908611599297011,0.056862745098039236,0.23285407725321844,0.09268354819338849,0.06451612903225801,0.021201413427561766,0.13207547169811318,-0.08032491224711819,-0.06918238993710701,-0.11583011583011582,-0.03176229508196715,True,322,0.7625418060200669,0.7412280701754386
TPE,NEXT_SESSION_OPEN,10,264,188,50,0.055324777666904947,0.04280769622314973,0.00901949637422038,-0.018335563416854495,-0.00954335179055245,0.4318181818181818,-0.2457070409246373,-0.09658111652304233,0.07051984160417901,0.38444671392526725,0.14399267302222987,0.09961798935776689,0.031827599963965336,0.19310836611229965,-0.10746383840003859,-0.08739412159005511,-0.15315268065268067,-0.04127231925065858,True,322,0.7625418060200669,0.7412280701754386
TPE,NEXT_SESSION_CLOSE,1,315,211,59,0.04507053392910577,0.03176470588235292,0.00014382080808604726,-0.00393700787401563,-0.0017124366741256406,0.42857142857142855,-0.07778905400507427,-0.0348639455782313,0.02704079510957713,0.09896483674506598,0.03726984948555204,0.029090909090909056,0.00810676330316562,0.07121722951232479,-0.029338332351599602,-0.026470588235294135,-0.05402885936784246,-0.005851736239463723,True,322,0.7625418060200669,0.7412280701754386
TPE,NEXT_SESSION_CLOSE,3,303,208,57,0.04620947283078204,0.03245192307692313,0.0015748649971719848,-0.015228426395939132,-0.007500309594091789,0.42574257425742573,-0.12552669140736517,-0.06099270259505035,0.0424880775484483,0.20653537030549501,0.07094931599228858,0.049848942598187396,0.016989041047228204,0.09981414108100495,-0.05681726022271527,-0.052247873633049835,-0.09199372744531292,-0.01895777178796043,True,322,0.7625418060200669,0.7412280701754386
TPE,NEXT_SESSION_CLOSE,5,289,203,55,0.04703866287337786,0.032590051457976,0.013109044751886716,-0.008547008547008628,-0.001121540126759845,0.44982698961937717,-0.15449656617390295,-0.06859205776173283,0.06060606060606055,0.2656098334902538,0.09927318294573104,0.06537530266343827,0.02450980392156854,0.15090543259557343,-0.07125305941018664,-0.060998151571164505,-0.11328125,-0.023668639053254448,True,322,0.7625418060200669,0.7412280701754386
TPE,NEXT_SESSION_CLOSE,10,263,187,49,0.048541392281625434,0.033639143730886945,0.012537658098307631,-0.011673151750972721,-0.007759735143505982,0.44106463878326996,-0.2354313400832546,-0.08759590792838878,0.053795959716345876,0.3941862613369154,0.15026056835148419,0.09537572254335247,0.03877909402256696,0.19432472168202197,-0.1023949740071978,-0.09070796460176989,-0.1489963869931754,-0.03409845903255537,True,322,0.7625418060200669,0.7412280701754386
TWO,THEORETICAL_REFERENCE_FILL,1,165,103,45,0.0,0.0,0.05315856765521045,0.046831955922865154,0.051595485921688965,0.7454545454545455,-0.0634102019312155,0.0,0.11378205128205132,0.18641047062099694,0.09684220052592132,0.10279187817258895,0.05306603773584895,0.13658536585365844,0.01978972885500758,0.006934812760055475,-0.020992366412213803,0.05213270142180093,False,168,0.7378048780487805,0.7024793388429752
TWO,THEORETICAL_REFERENCE_FILL,3,161,101,44,0.0,0.0,0.06714866037126381,0.05476673427991896,0.056074755621248334,0.6832298136645962,-0.12854442344045358,-0.020588235294117685,0.12534059945504072,0.36380255941499073,0.15439117338388444,0.1319999999999999,0.07578008915304624,0.2080745341614907,-0.011051491905543841,-0.005420054200542035,-0.060133630289532225,0.030206677265500748,False,168,0.7378048780487805,0.7024793388429752
TWO,THEORETICAL_REFERENCE_FILL,5,155,98,43,0.0,0.0,0.06768155342335117,0.04966139954853288,0.05390843340559315,0.6193548387096774,-0.1581317815360368,-0.04770275124391343,0.15493354812726534,0.38102894785674485,0.18519314400425038,0.15899581589958167,0.08693581166906594,0.2293767329955747,-0.03205326032150436,-0.025000000000000022,-0.08641643889105816,0.02256308506308502,False,168,0.7378048780487805,0.7024793388429752
TWO,THEORETICAL_REFERENCE_FILL,10,145,93,40,0.0,0.0,0.09524537925217566,0.057613168724279795,0.07659357621274475,0.6275862068965518,-0.1839190857667901,-0.056710775047258966,0.20999999999999996,0.5015256818957411,0.2504922786765782,0.19999999999999996,0.11842105263157898,0.35377358490566047,-0.06383011394256129,-0.04308797127468589,-0.13298565840938725,0.004366812227074357,False,168,0.7378048780487805,0.7024793388429752
TWO,OBSERVABLE_A2_CLOSE,1,165,103,45,0.03594333952449581,0.03143418467583503,0.016301714758469085,0.01298701298701288,0.01907458385139897,0.593939393939394,-0.08925431816012981,-0.028350515463917536,0.08726003490401402,0.09974358294793481,0.058547680142518634,0.0663716814159292,0.030303030303030276,0.09856630824372759,-0.015846744610169022,-0.016393442622950838,-0.05154639175257736,0.012474012474012586,False,168,0.7378048780487805,0.7024793388429752
