entry_proxy,extension_band,event_count,unique_instruments,unique_dates,event_share_of_available_proxy,extension_mean,extension_median,extension_p25,extension_p75,available_proxy_event_count,fixed_band_definition
THEORETICAL_REFERENCE_FILL,LE_0PCT,490,320,62,1.0,0.0,0.0,0.0,0.0,490,True
THEORETICAL_REFERENCE_FILL,GT_0_TO_1PCT,0,0,0,0.0,,,,,490,True
THEORETICAL_REFERENCE_FILL,GT_1_TO_2PCT,0,0,0,0.0,,,,,490,True
THEORETICAL_REFERENCE_FILL,GT_2_TO_3PCT,0,0,0,0.0,,,,,490,True
THEORETICAL_REFERENCE_FILL,GT_3_TO_5PCT,0,0,0,0.0,,,,,490,True
THEORETICAL_REFERENCE_FILL,GT_5PCT,0,0,0,0.0,,,,,490,True
OBSERVABLE_A2_CLOSE,LE_0PCT,0,0,0,0.0,,,,,490,True
OBSERVABLE_A2_CLOSE,GT_0_TO_1PCT,100,89,43,0.20408163265306123,0.005366861981949347,0.005135202837216024,0.0034384796238243753,0.007383166270992669,490,True
OBSERVABLE_A2_CLOSE,GT_1_TO_2PCT,96,88,45,0.19591836734693877,0.014753867939781196,0.014607405462184864,0.012142240683698291,0.017502431906614824,490,True
OBSERVABLE_A2_CLOSE,GT_2_TO_3PCT,57,50,32,0.11632653061224489,0.024703447142560654,0.024468085106382986,0.022900763358778775,0.02678571428571419,490,True
OBSERVABLE_A2_CLOSE,GT_3_TO_5PCT,111,103,40,0.22653061224489796,0.0389962517766965,0.03776978417266186,0.03408249158249155,0.044219423507597555,490,True
OBSERVABLE_A2_CLOSE,GT_5PCT,126,113,45,0.2571428571428571,0.07104267363275807,0.06909113749136353,0.058235694419788264,0.08000000000000007,490,True
NEXT_SESSION_OPEN,LE_0PCT,34,32,21,0.06981519507186858,-0.014707785789147457,-0.011543887147335508,-0.018912187547253184,-0.004197397347705828,487,True
NEXT_SESSION_OPEN,GT_0_TO_1PCT,46,45,31,0.0944558521560575,0.005605604148452425,0.0055440721075158406,0.003576576095660089,0.00767755681818183,487,True
NEXT_SESSION_OPEN,GT_1_TO_2PCT,48,46,30,0.09856262833675565,0.014537936471469531,0.014634233398176044,0.012372551411464594,0.016345416922133593,487,True
NEXT_SESSION_OPEN,GT_2_TO_3PCT,56,53,30,0.11498973305954825,0.025045042124638695,0.02530883025773978,0.023204004399016542,0.027255746656639213,487,True
NEXT_SESSION_OPEN,GT_3_TO_5PCT,84,82,35,0.17248459958932238,0.03981344569385139,0.03940089933926094,0.03554561967304731,0.04428133337180845,487,True
NEXT_SESSION_OPEN,GT_5PCT,219,189,49,0.44969199178644764,0.09932390899860104,0.08928571428571419,0.06705091577525302,0.12091421743000308,487,True
NEXT_SESSION_CLOSE,LE_0PCT,138,122,45,0.28336755646817247,-0.03090729467077369,-0.022785394273847737,-0.0484986504723347,-0.010277614096026316,487,True
NEXT_SESSION_CLOSE,GT_0_TO_1PCT,35,32,23,0.07186858316221766,0.005238412395556998,0.005012531328320691,0.0033267130089374986,0.007582720588235281,487,True
NEXT_SESSION_CLOSE,GT_1_TO_2PCT,32,31,20,0.06570841889117043,0.015264186326588373,0.015717638339920903,0.012312154175050438,0.017458537167402477,487,True
NEXT_SESSION_CLOSE,GT_2_TO_3PCT,23,23,18,0.04722792607802875,0.02508636865592593,0.02499999999999991,0.023191137379831694,0.02663093846959741,487,True
NEXT_SESSION_CLOSE,GT_3_TO_5PCT,48,46,31,0.09856262833675565,0.03916836521863802,0.038797909407665476,0.03372624162892429,0.044261790075053264,487,True
NEXT_SESSION_CLOSE,GT_5PCT,211,181,46,0.433264887063655,0.11468759057162857,0.11363636363636354,0.07906057542053502,0.13908456155561055,487,True
