entry_proxy,execution_assumption,event_count_total,entry_available_count,entry_availability_rate,missed_trade_rate,entry_extension_mean,entry_extension_median,entry_extension_p25,entry_extension_p75,t1_event_count,t1_forward_mean,t1_forward_median,t1_forward_win_rate,t1_mfe_median,t1_mae_median,t1_mfe_capture_ratio_median,t3_event_count,t3_forward_mean,t3_forward_median,t3_forward_win_rate,t3_mfe_median,t3_mae_median,t3_mfe_capture_ratio_median,t5_event_count,t5_forward_mean,t5_forward_median,t5_forward_win_rate,t5_mfe_median,t5_mae_median,t5_mfe_capture_ratio_median,t10_event_count,t10_forward_mean,t10_forward_median,t10_forward_win_rate,t10_mfe_median,t10_mae_median,t10_mfe_capture_ratio_median
THEORETICAL_REFERENCE_FILL,THEORETICAL_REFERENCE_FILL,490,490,1.0,0.0,0.0,0.0,0.0,0.0,483,0.04768353690902168,0.03481894150417819,0.7204968944099379,0.08714285714285697,0.00421940928270037,0.5393258426966301,466,0.05129517486076078,0.031143927705532204,0.628755364806867,0.11869925199438558,-0.011044838017174097,0.33707865168539275,448,0.06011067621155075,0.04057536966046005,0.6205357142857143,0.14055678875323707,-0.022868650910158606,0.32101254480286756,409,0.07579163737656791,0.03669724770642202,0.60880195599022,0.1796759941089836,-0.042065009560229405,0.2558139534883702
OBSERVABLE_A2_CLOSE,OBSERVABLE_CLOSE_FILL,490,490,1.0,0.0,0.03396145884179738,0.028262788510238113,0.012069073521120799,0.05153758841396122,483,0.013358059710904901,0.005284015852047519,0.5383022774327122,0.04893617021276597,-0.020050125313283096,0.2857142857142862,466,0.016896545609707853,0.0026801608755850914,0.5042918454935622,0.07697224573282546,-0.042785141650341085,0.16835187057634016,448,0.025525833037018976,0.011245195892847004,0.5446428571428571,0.09873370357241329,-0.05200974693731564,0.20996284400780924,409,0.0404407723753024,-0.0014662756598241566,0.4938875305623472,0.1317157712305026,-0.07657657657657657,0.0792682926829278
NEXT_SESSION_OPEN,NEXT_SESSION_OPEN_FILL,490,487,0.9938775510204082,0.006122448979591799,0.055347847828717135,0.04306220095693769,0.017755409939426703,0.08322499563042562,483,-0.0075734630929364544,-0.006369426751592355,0.37060041407867494,0.021671826625387025,-0.031876138433515444,-0.146428571428572,466,-0.005262100551242421,-0.012591829184504022,0.4206008583690987,0.05512625714492436,-0.057928827844545006,-0.10263157894736895,448,0.0024914601105537745,-0.008709876250533377,0.45089285714285715,0.073480290100437,-0.07142236516645295,-0.03901515151515183,409,0.016437032770136667,-0.018045112781954975,0.4449877750611247,0.10392609699769051,-0.09706546275395034,-0.07671957671957677
NEXT_SESSION_CLOSE,NEXT_SESSION_CLOSE_FILL,490,487,0.9938775510204082,0.006122448979591799,0.047356758422840046,0.03467406380027738,-0.004147771027637581,0.1051125900983848,480,0.002786765093016747,-0.0033252319929297225,0.45,0.03296593162174366,-0.02744970798183005,0.08333333333333436,464,0.004812134385027008,-0.012568111821843142,0.44612068965517243,0.056364502806311556,-0.05142336751214244,0.0,443,0.01828290290098423,-0.006993006993006978,0.4672686230248307,0.07441860465116279,-0.06786427145708585,0.06342537014805907,408,0.02152321445330839,-0.006526173450678352,0.4681372549019608,0.10026455026455028,-0.09338634857521538,-0.01265822784810153
