temporal,entry_proxy,horizon,event_count,unique_instruments,unique_dates,extension_mean,extension_median,forward_mean,forward_median,forward_trimmed_mean_10pct,forward_win_rate,forward_p05,forward_p25,forward_p75,forward_p95,mfe_mean,mfe_median,mfe_p25,mfe_p75,mae_mean,mae_median,mae_p25,mae_p75,outlier_driven,a2_event_count,reference_loss_rate_h10,reference_reclaim_rate_after_loss_h10
DEVELOPMENT_AVAILABLE,THEORETICAL_REFERENCE_FILL,1,391,281,35,0.0,0.0,0.0549043423792336,0.04451038575667665,0.05298097886782716,0.7595907928388747,-0.05103625956620517,0.0020088999871943347,0.11187204621039726,0.17469788438070333,0.09283460698700408,0.09844559585492219,0.050128147143072566,0.12879862357869543,0.02267306460641992,0.01200000000000001,-0.014196617617094398,0.050983279909902146,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,THEORETICAL_REFERENCE_FILL,3,385,278,35,0.0,0.0,0.06219673582407074,0.04814814814814805,0.05244197020806227,0.6805194805194805,-0.09749650058638815,-0.021868787276341894,0.125,0.2912073732718893,0.14367086322842465,0.12734082397003754,0.06593406593406592,0.1961414790996785,-0.006375412395768444,-0.004184100418409997,-0.04861111111111116,0.02941176470588225,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,THEORETICAL_REFERENCE_FILL,5,378,275,35,0.0,0.0,0.07510550131955092,0.05141422151731434,0.05984664646156398,0.6693121693121693,-0.12911828537096756,-0.027848935406023928,0.1424369747899159,0.39636750865292103,0.17587698986930167,0.1519355785765215,0.08079354274044537,0.22786133509994094,-0.022542339655887197,-0.013581043702747542,-0.06577591069101657,0.020566491194326075,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,THEORETICAL_REFERENCE_FILL,10,359,263,35,0.0,0.0,0.09944918865795978,0.05384615384615388,0.07522702325394173,0.6685236768802229,-0.1591786340408073,-0.03256259467165645,0.19277532880474058,0.5013450637989729,0.23833282993441174,0.19041095890410964,0.11094171377708084,0.3197277847309137,-0.04590154587048395,-0.03454894433781197,-0.105949694126032,0.005820749352372423,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,OBSERVABLE_A2_CLOSE,1,391,281,35,0.0344692163349253,0.030245746691871522,0.01960976077004236,0.014705882352941124,0.022132939013197156,0.5831202046035806,-0.08071312404514314,-0.022590412683291983,0.08810832025117743,0.09969071475008595,0.05626005167660767,0.060975609756097615,0.02335811225533657,0.09848430480400738,-0.01148958258202087,-0.015895953757225523,-0.04347826086956519,0.012137829431985603,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,OBSERVABLE_A2_CLOSE,3,385,278,35,0.03448871081656545,0.030000000000000027,0.026739196690648635,0.01038062283737018,0.018740535307180194,0.5506493506493506,-0.12896757835536207,-0.04896142433234418,0.08456375838926178,0.25306168905076176,0.10530160222910455,0.08712121212121215,0.03504043126684642,0.159052453468697,-0.03946885296694937,-0.03393213572854292,-0.0791505791505791,0.0,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,OBSERVABLE_A2_CLOSE,5,378,275,35,0.03419090785127806,0.029121468028220465,0.03951963760637722,0.02039861882075278,0.025419574623456603,0.5925925925925926,-0.15186480186480183,-0.059981472904122396,0.1051679832492623,0.3420622755539982,0.13676331809267725,0.10369671570018868,0.047178375574329356,0.19030316553351473,-0.05477003195643043,-0.04597583592428961,-0.0961163873933821,-0.009212817833507442,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,OBSERVABLE_A2_CLOSE,10,359,263,35,0.03444409157242382,0.030000000000000027,0.0627519567895119,0.020022246941045596,0.03959972016994942,0.5487465181058496,-0.17776524156827977,-0.0661503582277248,0.14983429269143567,0.4463312127819893,0.1968564309999732,0.15506329113924044,0.07468885757895971,0.2702702702702703,-0.07759830002141482,-0.06851851851851853,-0.13021739130434784,-0.021791895314478726,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,NEXT_SESSION_OPEN,1,391,281,35,0.05991112517895441,0.048349056603773644,-0.0047313162031139295,-0.0038510911424904926,-0.0058875538361383584,0.3836317135549872,-0.07986754272533464,-0.03249032371569316,0.022058920887123357,0.07355824977832337,0.0314750802115608,0.02259887005649719,0.004512111993977164,0.051773777218876105,-0.03523057615998564,-0.029824561403508865,-0.05214240216259891,-0.010844010814623328,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,NEXT_SESSION_OPEN,3,385,278,35,0.06024641054683236,0.048349056603773644,0.0013431581653760183,-0.007858546168958758,-0.0050226395266771105,0.45454545454545453,-0.13783623652091484,-0.061855670103092675,0.052238805970149294,0.19903807291245648,0.07812933404885876,0.06290672451193058,0.020491803278688492,0.1120000000000001,-0.0628346540050455,-0.05369127516778527,-0.09479768786127163,-0.02259887005649719,True,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,NEXT_SESSION_OPEN,5,378,275,35,0.060373989696982905,0.04857775463308589,0.013501201938177667,-0.004700825427270072,0.0014804799715358267,0.47883597883597884,-0.15959848609511265,-0.07641601388799951,0.07267407668783815,0.266461270685372,0.1082347079239341,0.0835557079129502,0.032553509208561426,0.1511641159231521,-0.07808874811123115,-0.06870687351068916,-0.11456827101838468,-0.02983697451175113,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,NEXT_SESSION_OPEN,10,359,263,35,0.06082790359248919,0.04967602591792675,0.03647731378340465,-0.0019342359767892114,0.013843512004077626,0.49025069637883006,-0.17955152246321698,-0.08389660278873368,0.1124383217383309,0.41264267990074427,0.16672120286529332,0.1113537117903931,0.05576527991782232,0.22824680082055293,-0.10037840692946319,-0.08687615526802228,-0.15068761704119854,-0.03750971140545356,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,NEXT_SESSION_CLOSE,1,391,281,35,0.0549043423792336,0.04451038575667665,0.006396278356893963,0.0,0.005379747540462289,0.4859335038363171,-0.07502123494568919,-0.035974398199433766,0.047208828886746046,0.09956002634725936,0.044625224154574955,0.03861003861003853,0.013921188630490966,0.09002070056286926,-0.024391582764538407,-0.026666666666666616,-0.05401115401115403,-0.003351257407238961,False,394,0.7182741116751269,0.773851590106007
DEVELOPMENT_AVAILABLE,NEXT_SESSION_CLOSE,3,385,278,35,0.055464685236425566,0.04497907949790814,0.011636182474086368,-0.00295857988165682,0.0014379472689242019,0.4805194805194805,-0.13117247397618895,-0.06034482758620685,0.060070671378091856,0.23246391239422587,0.08398689729181655,0.06043329532497155,0.02284710017574687,0.12173038229376254,-0.05199239973792869,-0.049107142857142905,-0.0892857142857143,-0.015490533562822706,False,394,0.7182741116751269,0.773851590106007
