feature_name,category,allowed_for_primary_analysis,missing_count_all_A1,missing_rate_all_A1,N_success,N_failed,mean_success,mean_failed,median_success,median_failed,std_success,std_failed,p25_success,p25_failed,p75_success,p75_failed,difference_in_means,difference_in_medians,standardized_effect_size,rank_biserial_effect,direction,effect_size_band,task_id,source_canonical_head,source_baseline_head,frozen_spec_hash,dataset_authority
close_ma20_distance,MA_STRUCTURE,True,0,0.0,386,214,0.07259768882249669,0.09556564757392264,0.060295858140930386,0.07997065347990454,0.06155793723060709,0.06341372575161568,0.02517401399601648,0.05015084300974361,0.10850372793379764,0.1295216781778847,-0.022967958751425946,-0.01967479533897415,-0.369109699342304,-0.23771245944506314,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
close_ma60_distance,MA_STRUCTURE,True,0,0.0,386,214,0.1443035019614193,0.18904745011007704,0.07939949611148536,0.10761814464191295,0.17046663416945543,0.18905058084193568,0.027044880068678296,0.05529389803333568,0.193044073812199,0.2754172732143954,-0.04474394814865773,-0.02821864853042759,-0.25234945071605097,-0.20500217907123142,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma20_ma60_spread,MA_STRUCTURE,True,0,0.0,386,214,0.06307867571277426,0.0814719230655411,0.021610112086553113,0.03169129359749418,0.10560566062269713,0.12299317948289354,0.004402455704751486,0.003011482535033245,0.09878081932254162,0.13545711744351654,-0.018393247352766845,-0.010081181510941069,-0.16406647590435372,-0.08156989976272333,LOWER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma20_slope_5d,MA_STRUCTURE,True,0,0.0,386,214,0.019851913894838584,0.021934564081387414,0.01076135566981201,0.010338026509411471,0.028464695984120405,0.03593149717304385,0.0013773614053223292,0.000636815131153073,0.033033390435622256,0.02984213023761111,-0.0020826501865488303,0.0004233291604005384,-0.0664767702211428,0.01376446661178643,LOWER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma60_slope_5d,MA_STRUCTURE,True,47,0.06714285714285714,347,206,0.014994560417456941,0.018313779862238852,0.008158508158508158,0.010389245652750513,0.023114977575765774,0.0234337595242322,0.00037957292002423155,0.0025077037625186403,0.022161396794123423,0.03200405584815488,-0.003319219444781911,-0.0022307374942423554,-0.14285987604044123,-0.10679611650485432,LOWER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
ma60_slope_20d,MA_STRUCTURE,True,307,0.43857142857142856,181,122,0.06277454905747418,0.06871102500944347,0.018244799811666584,0.036229498902912716,0.12194810188111549,0.09161736315566223,-0.0071766901105210276,0.000996755384481038,0.09228971962616822,0.12566113499052123,-0.005936475951969292,-0.017984699091246132,-0.053598503097258006,-0.12344896295625396,LOWER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
volume_ratio_5,VOLUME_CONFIRMATION,True,0,0.0,386,214,1.3124289829175668,1.513703579421813,1.166105677184046,1.3635453324047502,0.6029811619432119,0.6198973284383783,0.9014883480257359,1.0878177413018033,1.6239201073385776,1.8347630932837227,-0.20127459650424617,-0.19743965522070428,-0.330467405611416,-0.2098445595854922,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
volume_ratio_20,VOLUME_CONFIRMATION,True,0,0.0,386,214,1.415968266266703,1.764439770039453,1.151957250905364,1.5609771247143174,1.0576363673543077,1.0917824255649728,0.803300637257721,1.0086514635955262,1.691542932114971,2.1062662650728283,-0.34847150377274994,-0.40901987380895344,-0.32569752250034156,-0.24388649460074574,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
volume_ma5_ma20_spread,VOLUME_CONFIRMATION,True,0,0.0,386,214,0.05145889193737651,0.13410470216915993,-0.024030122345157705,0.059401221991723485,0.37221158895748585,0.3962727581424248,-0.17808653014655446,-0.11489362536060072,0.2211820203321464,0.31191058501011387,-0.08264581023178341,-0.0834313443368812,-0.21694310038524167,-0.14413345600697303,LOWER_IN_SUCCESS,SMALL,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
volume_expansion_5_vs_prior20,VOLUME_CONFIRMATION,True,0,0.0,386,214,0.1479831591119775,0.28516977670891713,-0.012479582471839432,0.08886840999179113,0.6868413009447834,1.0947425389114434,-0.2302421180337029,-0.19846233333545168,0.33386033647548635,0.4437129139504789,-0.13718661759693962,-0.10134799246363056,-0.16049929328073242,-0.07989927848530343,LOWER_IN_SUCCESS,NEGLIGIBLE_OR_UNAVAILABLE,TASK-WS3-CORE-V0-A1-EX-ANTE-SUCCESS-VS-FAILED-BREAKOUT-DISCRIMINATION-RESEARCH-20260818,3ab70b612cbb30335b43a5650d145488f9e8b2c1,9ca9ba4f15359aa5ea96ba4c3d6bed9439d0346e,6e4cc504f969098e263cfa8e7c43240e9575a3f72f0641ba39da22794ea9870d,canonical Postgres historical read model via read_historical_bars; REC-A1 event dataset preserved
