lifecycle_stage,evaluation_status,data_status,row_count,topic_count,date_count,pct_of_dataset
DECLINING,EVALUATED,RECONSTRUCTED_RESEARCH,2811,54,125,17.298462
FERMENTING,EVALUATED,RECONSTRUCTED_RESEARCH,1642,47,124,10.104615
MAIN_RISE,EVALUATED,RECONSTRUCTED_RESEARCH,3057,65,125,18.812308
MATURE,EVALUATED,RECONSTRUCTED_RESEARCH,1094,56,119,6.732308
NONE,FAIL_CLOSED,FAIL_CLOSED,4750,38,125,29.230769
NONE,INSUFFICIENT_DATA,INSUFFICIENT_DATA,1250,10,125,7.692308
NONE,PENDING,PENDING,1204,76,102,7.409231
SPROUTING,EVALUATED,RECONSTRUCTED_RESEARCH,442,17,122,2.72
