cohort,event_semantics,observation_window,event_count,events_with_required_prior_row,signal_cohort_total,signal_cohort_in_l5_window,valid_relation_lifecycle_join_signal_count,matched_signal_count,matched_unique_signal_count,matched_unique_instrument_count,matched_unique_topic_count,matched_event_count,missing_prior_window_count,no_topic_match_count,ambiguous_topic_match_count,no_lifecycle_row_count,anti_leakage_status,source_class,adjustment_state
A2,CONFIRMED_TRANSITION,D-3,65,54,5277,1725,1139,10,10,10,10,10,11,684,1226,2228,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
LEGACY5,CONFIRMED_TRANSITION,D-3,65,54,2471,755,513,1,1,1,1,1,11,274,631,1053,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_SAME_SESSION,CONFIRMED_TRANSITION,D-3,65,54,1120,316,208,0,0,0,0,0,11,130,308,474,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_WITHIN_1_SENSITIVITY,CONFIRMED_TRANSITION,D-3,65,54,1584,499,350,1,1,1,1,1,11,182,406,646,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-2,65,54,7748,2480,1652,6,6,6,5,5,11,958,1857,3281,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
A2,CONFIRMED_TRANSITION,D-2,65,54,5277,1725,1139,4,4,4,3,3,11,684,1226,2228,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
LEGACY5,CONFIRMED_TRANSITION,D-2,65,54,2471,755,513,2,2,2,2,2,11,274,631,1053,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_SAME_SESSION,CONFIRMED_TRANSITION,D-2,65,54,1120,316,208,0,0,0,0,0,11,130,308,474,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_WITHIN_1_SENSITIVITY,CONFIRMED_TRANSITION,D-2,65,54,1584,499,350,0,0,0,0,0,11,182,406,646,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-1,65,62,7748,2480,1652,13,13,13,8,8,3,958,1857,3281,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
A2,CONFIRMED_TRANSITION,D-1,65,62,5277,1725,1139,8,8,8,8,8,3,684,1226,2228,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
LEGACY5,CONFIRMED_TRANSITION,D-1,65,62,2471,755,513,5,5,5,3,3,3,274,631,1053,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_SAME_SESSION,CONFIRMED_TRANSITION,D-1,65,62,1120,316,208,0,0,0,0,0,3,130,308,474,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_WITHIN_1_SENSITIVITY,CONFIRMED_TRANSITION,D-1,65,62,1584,499,350,1,1,1,1,1,3,182,406,646,PASS_D0_SEPARATED,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CONFIRMED_TRANSITION,D0,65,65,7748,2480,1652,42,42,37,20,20,0,958,1857,3281,D0_SEPARATE,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
A2,CONFIRMED_TRANSITION,D0,65,65,5277,1725,1139,27,27,27,17,17,0,684,1226,2228,D0_SEPARATE,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
LEGACY5,CONFIRMED_TRANSITION,D0,65,65,2471,755,513,15,15,15,10,10,0,274,631,1053,D0_SEPARATE,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_SAME_SESSION,CONFIRMED_TRANSITION,D0,65,65,1120,316,208,10,10,5,5,5,0,130,308,474,D0_SEPARATE,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
BOTH_WITHIN_1_SENSITIVITY,CONFIRMED_TRANSITION,D0,65,65,1584,499,350,13,13,8,7,7,0,182,406,646,D0_SEPARATE,CURRENT_TAXONOMY_HISTORICAL_RECONSTRUCTION,UNKNOWN_RAW_ONLY
