cohort,event_semantics,pretransition_window,horizon,pre_N,pre_outcome_n,pre_endpoint_mean,pre_endpoint_median,pre_mae_mean,pre_mae_median,d0_N,d0_outcome_n,d0_endpoint_mean,d0_endpoint_median,d0_mae_mean,d0_mae_median,pre_minus_d0_mean,pre_minus_d0_median,pre_mae_minus_d0_mean,pre_mae_minus_d0_median,d0_conditioning_disclosure,anti_leakage_status
A2,CANDIDATE_ONSET,D-2,10,6,6,0.04854062532482526,0.07027932960893857,-0.034138807112150484,-0.026242085661080106,30,30,0.013105886686413744,-0.017950909177230134,-0.07219510051169857,-0.06903315982263347,0.03543473863841152,0.0882302387861687,0.03805629339954809,0.042791074161553366,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
A2,CANDIDATE_ONSET,D-1,5,6,6,0.052722258832327194,0.008883803001450086,-0.012546684493974317,-0.028155879850795096,30,30,0.0037480620267267097,0.0018382352941176405,-0.047622613419670876,-0.04977497006482512,0.04897419680560049,0.007045567707332445,0.03507592892569656,0.021619090214030023,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
A2,CANDIDATE_ONSET,D-1,10,6,6,0.05397524680150114,0.026541264192509795,-0.017448645278288027,-0.028155879850795096,30,30,0.013105886686413744,-0.017950909177230134,-0.07219510051169857,-0.06903315982263347,0.0408693601150874,0.04449217336973993,0.05474645523341054,0.040877279971838376,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
A2,CONFIRMED_TRANSITION,D-3,5,10,10,0.09769105321674038,0.10683951098610367,-0.049969474424009855,-0.039288398078870856,27,27,0.012739541474656094,0.012461059190031154,-0.050239004189012566,-0.055462184873949605,0.08495151174208428,0.09437845179607252,0.0002695297650027115,0.01617378679507875,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
A2,CONFIRMED_TRANSITION,D-3,10,10,10,0.10974684719396237,-0.0021563694579671555,-0.07549254996593806,-0.07047872340425532,27,27,0.03351586283361617,-0.005649717514124131,-0.06560294020991524,-0.07268170426065157,0.0762309843603462,0.003493348056156975,-0.009889609756022821,0.0022029808563962527,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
A2,CONFIRMED_TRANSITION,D-2,5,4,3,0.1353973944071032,0.12200000000000011,-0.012168616712306032,-0.002564102564102555,27,27,0.012739541474656094,0.012461059190031154,-0.050239004189012566,-0.055462184873949605,0.12265785293244709,0.10953894080996895,0.03807038747670653,0.05289808230984705,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
A2,CONFIRMED_TRANSITION,D-2,10,4,3,0.24640112853705087,0.05048543689320395,-0.016699361048875632,-0.01553398058252431,27,27,0.03351586283361617,-0.005649717514124131,-0.06560294020991524,-0.07268170426065157,0.2128852657034347,0.05613515440732808,0.0489035791610396,0.05714772367812726,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
A2,CONFIRMED_TRANSITION,D-1,5,8,8,0.13184129810975057,0.11596037424325811,0.02115700303567282,0.011069695301946236,27,27,0.012739541474656094,0.012461059190031154,-0.050239004189012566,-0.055462184873949605,0.11910175663509447,0.10349931505322696,0.07139600722468539,0.06653188017589584,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
A2,CONFIRMED_TRANSITION,D-1,10,8,8,0.1729423931830391,0.1088592046675878,0.004454593521890621,0.004615935771894675,27,27,0.03351586283361617,-0.005649717514124131,-0.06560294020991524,-0.07268170426065157,0.13942653034942293,0.11450892218171194,0.07005753373180586,0.07729764003254624,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
LEGACY5,CANDIDATE_ONSET,D-3,5,4,4,0.04309591680733659,0.03303724808312733,-0.038932355589480376,-0.03758584732659739,11,11,-0.007913063944112111,-0.01020408163265306,-0.059370859104390335,-0.05764411027568922,0.051008980751448704,0.04324132971578039,0.02043850351490996,0.020058262949091833,D0 uses same-day MAIN_RISE price evidence thresholds; not independent predictive lift,PASS_D0_SEPARATED
