cohort,event_semantics,observation_window,horizon,risk_role,anti_leakage_status,N,outcome_n,matured_n,instrument_count,topic_count,date_count,event_count,pair_count,endpoint_mean,endpoint_median,endpoint_trimmed5_mean,positive_endpoint_rate,mfe_mean,mfe_median,mae_mean,mae_median,mae_le_minus5_rate,mfe_ge_5_rate,barrier_5_up_first_rate,barrier_5_down_first_rate,barrier_5_same_session_unknown_rate,barrier_10_up_first_rate,barrier_10_down_first_rate,barrier_10_same_session_unknown_rate,baseline_mae_mean,baseline_mae_median,delta_mae_mean,delta_mae_median,barrier_semantics,adjustment_state
ALL_TECHNICAL,CANDIDATE_ONSET,D-3,5,PRETRANSITION,PASS_D0_SEPARATED,8,8,8,8,8,7,8,0,0.05892348881180459,0.06674632980539433,0.05892348881180459,0.875,0.11288931873345304,0.09913998699139986,-0.028133961445110083,-0.02566405185207625,0.375,1.0,0.75,0.25,0.0,0.75,0.25,0.0,-0.05563802675648964,-0.04740357901617914,0.02750406531137956,0.021739527164102893,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CANDIDATE_ONSET,D-3,10,PRETRANSITION,PASS_D0_SEPARATED,8,8,8,8,8,7,8,0,0.10038457798663325,0.06498502219602276,0.10038457798663325,0.75,0.17274217593442187,0.16594429152458806,-0.0283164431969349,-0.02639397885937552,0.375,1.0,0.75,0.25,0.0,0.75,0.25,0.0,-0.07842067260271056,-0.06439024390243908,0.05010422940577566,0.03799626504306356,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CANDIDATE_ONSET,D-2,5,PRETRANSITION,PASS_D0_SEPARATED,10,10,10,9,8,7,8,0,0.11563552169544358,0.13360726072607265,0.11563552169544358,0.8,0.19097911330870027,0.215373300158052,-0.013832739654054835,-0.020484171322160166,0.1,0.9,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.0,-0.05563802675648964,-0.04740357901617914,0.04180528710243481,0.026919407694018977,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CANDIDATE_ONSET,D-2,10,PRETRANSITION,PASS_D0_SEPARATED,10,10,10,9,8,7,8,0,0.0966670612898514,0.12731014193386847,0.0966670612898514,0.8,0.2414232089423979,0.22497970682328222,-0.022043523967780306,-0.020484171322160166,0.2,0.9,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,-0.07842067260271056,-0.06439024390243908,0.05637714863493025,0.04390607258027891,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CANDIDATE_ONSET,D-1,5,PRETRANSITION,PASS_D0_SEPARATED,8,8,8,8,6,5,6,0,0.034221319346203156,0.008883803001450086,0.034221319346203156,0.625,0.09630427549211591,0.07709298011789123,-0.031544396989053404,-0.028155879850795096,0.25,0.75,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,-0.05563802675648964,-0.04740357901617914,0.024093629767436238,0.019247699165384047,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CANDIDATE_ONSET,D-1,10,PRETRANSITION,PASS_D0_SEPARATED,8,8,8,8,6,5,6,0,0.06876263197293817,0.048291316526610645,0.06876263197293817,0.75,0.1682303120777791,0.12933706816059756,-0.035220867577288685,-0.028155879850795096,0.375,1.0,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,-0.07842067260271056,-0.06439024390243908,0.043199805025421874,0.036234364051643986,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CANDIDATE_ONSET,D0,5,D0_CONTEMPORANEOUS,D0_SEPARATE_NOT_PREDICTIVE,41,41,41,39,23,11,23,0,0.000619467254062636,-0.008230452674897082,-0.0016113281780464207,0.43902439024390244,0.06614875775113675,0.047619047619047616,-0.050774581774107805,-0.050167224080267525,0.5121951219512195,0.4878048780487805,0.4,0.36666666666666664,0.0,0.1,0.5,0.0,-0.05563802675648964,-0.04740357901617914,0.004863444982381837,-0.0027636450640883825,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CANDIDATE_ONSET,D0,10,D0_CONTEMPORANEOUS,D0_SEPARATE_NOT_PREDICTIVE,41,41,41,39,23,11,23,0,0.014193821510240047,-0.00796812749003984,-0.008540269862841657,0.3902439024390244,0.1056795427545578,0.05263157894736836,-0.076302944141434,-0.07268170426065163,0.6829268292682927,0.5365853658536586,0.4,0.5,0.0,0.16666666666666666,0.6666666666666666,0.0,-0.07842067260271056,-0.06439024390243908,0.002117728461276558,-0.008291460358212543,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-3,5,PRETRANSITION,PASS_D0_SEPARATED,11,11,11,11,11,9,11,0,0.0916820245193608,0.09958506224066377,0.0916820245193608,0.7272727272727273,0.145637572171693,0.11409395973154357,-0.04608955865565018,-0.03526970954356856,0.36363636363636365,0.6363636363636364,0.5,0.4,0.0,0.5,0.4,0.0,-0.05563802675648964,-0.04740357901617914,0.00954846810083946,0.012133869472610581,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-3,10,PRETRANSITION,PASS_D0_SEPARATED,11,11,11,11,11,9,11,0,0.10573473460800953,0.03112033195020736,0.10573473460800953,0.5454545454545454,0.23218231643761592,0.16141732283464583,-0.06929235460285764,-0.06382978723404253,0.5454545454545454,0.6363636363636364,0.5,0.5,0.0,0.5,0.5,0.0,-0.07842067260271056,-0.06439024390243908,0.00912831799985292,0.0005604566683965473,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-2,5,PRETRANSITION,PASS_D0_SEPARATED,6,5,5,6,5,4,5,0,0.06071372059882918,0.08932038834951461,0.06071372059882918,0.8,0.14722347407934772,0.1766990291262136,-0.059596802726151824,-0.03200000000000003,0.4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.05563802675648964,-0.04740357901617914,-0.003958775969662182,0.015403579016179114,+5% / +10% before -5%; same-session order unknown,UNKNOWN_RAW_ONLY
