cohort,event_semantics,observation_window,horizon,inference_role,comparison_purpose,evidence_as_of_rule,uses_d0_evidence,anti_leakage_status,N,outcome_n,matured_n,instrument_count,topic_count,date_count,event_count,pair_count,endpoint_mean,endpoint_median,endpoint_trimmed5_mean,positive_endpoint_rate,mfe_mean,mfe_median,mae_mean,mae_median,mae_le_minus5_rate,mfe_ge_5_rate,barrier_5_up_first_rate,barrier_5_down_first_rate,barrier_5_same_session_unknown_rate,barrier_10_up_first_rate,barrier_10_down_first_rate,barrier_10_same_session_unknown_rate,baseline_N,sample_retained_pct,opportunities_removed,delta_endpoint_mean,delta_endpoint_median,delta_mae_mean,delta_mae_median,small_sample_flag
ALL_TECHNICAL,CANDIDATE_ONSET,D-3,5,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,8,8,8,8,8,7,8,0,0.05892348881180459,0.06674632980539433,0.05892348881180459,0.875,0.11288931873345304,0.09913998699139986,-0.028133961445110083,-0.02566405185207625,0.375,1.0,0.75,0.25,0.0,0.75,0.25,0.0,2480,0.0032258064516129032,2472,0.024795457270699574,0.05558089357032017,0.02750406531137956,0.021739527164102893,YES
ALL_TECHNICAL,CANDIDATE_ONSET,D-3,10,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,8,8,8,8,8,7,8,0,0.10038457798663325,0.06498502219602276,0.10038457798663325,0.75,0.17274217593442187,0.16594429152458806,-0.0283164431969349,-0.02639397885937552,0.375,1.0,0.75,0.25,0.0,0.75,0.25,0.0,2480,0.0032258064516129032,2472,0.04279473042829178,0.04210172700151475,0.05010422940577566,0.03799626504306356,YES
ALL_TECHNICAL,CANDIDATE_ONSET,D-2,5,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,10,10,10,9,8,7,8,0,0.11563552169544358,0.13360726072607265,0.11563552169544358,0.8,0.19097911330870027,0.215373300158052,-0.013832739654054835,-0.020484171322160166,0.1,0.9,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.0,2480,0.004032258064516129,2470,0.08150749015433856,0.1224418244909985,0.04180528710243481,0.026919407694018977,YES
ALL_TECHNICAL,CANDIDATE_ONSET,D-2,10,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,10,10,10,9,8,7,8,0,0.0966670612898514,0.12731014193386847,0.0966670612898514,0.8,0.2414232089423979,0.22497970682328222,-0.022043523967780306,-0.020484171322160166,0.2,0.9,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,2480,0.004032258064516129,2470,0.039077213731509935,0.10442684673936047,0.05637714863493025,0.04390607258027891,YES
ALL_TECHNICAL,CANDIDATE_ONSET,D-1,5,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,8,8,8,8,6,5,6,0,0.034221319346203156,0.008883803001450086,0.034221319346203156,0.625,0.09630427549211591,0.07709298011789123,-0.031544396989053404,-0.028155879850795096,0.25,0.75,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,2480,0.0032258064516129032,2472,9.328780509813839e-05,-0.0022816332336240697,0.024093629767436238,0.019247699165384047,YES
ALL_TECHNICAL,CANDIDATE_ONSET,D-1,10,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,8,8,8,8,6,5,6,0,0.06876263197293817,0.048291316526610645,0.06876263197293817,0.75,0.1682303120777791,0.12933706816059756,-0.035220867577288685,-0.028155879850795096,0.375,1.0,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,2480,0.0032258064516129032,2472,0.011172784414596695,0.025408021332102636,0.043199805025421874,0.036234364051643986,YES
ALL_TECHNICAL,CANDIDATE_ONSET,D0,5,CONTEMPORANEOUS_TRANSITION_CONDITIONED,Technical Signal + transition context,D0 separately reported; contemporaneous transition conditioned,YES,D0_SEPARATE_NOT_PREDICTIVE,41,41,41,39,23,11,23,0,0.000619467254062636,-0.008230452674897082,-0.0016113281780464207,0.43902439024390244,0.06614875775113675,0.047619047619047616,-0.050774581774107805,-0.050167224080267525,0.5121951219512195,0.4878048780487805,0.4,0.36666666666666664,0.0,0.1,0.5,0.0,2480,0.01653225806451613,2439,-0.03350856428704238,-0.019395888909971237,0.004863444982381837,-0.0027636450640883825,NO
ALL_TECHNICAL,CANDIDATE_ONSET,D0,10,CONTEMPORANEOUS_TRANSITION_CONDITIONED,Technical Signal + transition context,D0 separately reported; contemporaneous transition conditioned,YES,D0_SEPARATE_NOT_PREDICTIVE,41,41,41,39,23,11,23,0,0.014193821510240047,-0.00796812749003984,-0.008540269862841657,0.3902439024390244,0.1056795427545578,0.05263157894736836,-0.076302944141434,-0.07268170426065163,0.6829268292682927,0.5365853658536586,0.4,0.5,0.0,0.16666666666666666,0.6666666666666666,0.0,2480,0.01653225806451613,2439,-0.04339602604810142,-0.03085142268454785,0.002117728461276558,-0.008291460358212543,NO
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-3,5,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,11,11,11,11,11,9,11,0,0.0916820245193608,0.09958506224066377,0.0916820245193608,0.7272727272727273,0.145637572171693,0.11409395973154357,-0.04608955865565018,-0.03526970954356856,0.36363636363636365,0.6363636363636364,0.5,0.4,0.0,0.5,0.4,0.0,2480,0.004435483870967742,2469,0.05755399297825579,0.08841962600558961,0.00954846810083946,0.012133869472610581,YES
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-3,10,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,11,11,11,11,11,9,11,0,0.10573473460800953,0.03112033195020736,0.10573473460800953,0.5454545454545454,0.23218231643761592,0.16141732283464583,-0.06929235460285764,-0.06382978723404253,0.5454545454545454,0.6363636363636364,0.5,0.5,0.0,0.5,0.5,0.0,2480,0.004435483870967742,2469,0.04814488704966806,0.00823703675569935,0.00912831799985292,0.0005604566683965473,YES
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-2,5,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,6,5,5,6,5,4,5,0,0.06071372059882918,0.08932038834951461,0.06071372059882918,0.8,0.14722347407934772,0.1766990291262136,-0.059596802726151824,-0.03200000000000003,0.4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2480,0.0024193548387096775,2474,0.02658568905772416,0.07815495211444046,-0.003958775969662182,0.015403579016179114,YES
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-2,10,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,6,5,5,6,5,4,5,0,0.16000673055368148,0.05048543689320395,0.16000673055368148,0.8,0.27168848275488267,0.19199999999999995,-0.06930613078706013,-0.03200000000000003,0.4,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2480,0.0024193548387096775,2474,0.10241688299534,0.02760214169869594,0.009114541815650426,0.03239024390243905,YES
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-1,5,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,13,13,13,13,8,7,8,0,0.09467394652285445,0.07974683544303796,0.09467394652285445,0.6923076923076923,0.17984598209267533,0.13497822931785186,-0.012197349937198456,0.002902757619738683,0.15384615384615385,0.8461538461538461,0.875,0.0,0.0,0.75,0.0,0.0,2480,0.005241935483870968,2467,0.06054591498174943,0.0685813992079638,0.04344067681929119,0.050306336635917825,YES
ALL_TECHNICAL,CONFIRMED_TRANSITION,D-1,10,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,13,13,13,13,8,7,8,0,0.17627612364456918,0.15384615384615374,0.17627612364456918,0.9230769230769231,0.29174445402875343,0.2104499274310596,-0.023842872087859904,0.0015748031496062992,0.23076923076923078,1.0,1.0,0.0,0.0,0.75,0.125,0.0,2480,0.005241935483870968,2467,0.11868627608622771,0.13096285865164572,0.05457780051485066,0.06596504705204538,YES
ALL_TECHNICAL,CONFIRMED_TRANSITION,D0,5,CONTEMPORANEOUS_TRANSITION_CONDITIONED,Technical Signal + transition context,D0 separately reported; contemporaneous transition conditioned,YES,D0_SEPARATE_NOT_PREDICTIVE,42,42,42,37,20,14,20,0,0.006604028157100846,-0.002652519893899204,0.00045401112811988453,0.47619047619047616,0.0840782415995646,0.06880448985712151,-0.055047043724833156,-0.05652223443985466,0.5476190476190477,0.6904761904761905,0.5185185185185185,0.25925925925925924,0.07407407407407407,0.18518518518518517,0.5185185185185185,0.0,2480,0.016935483870967744,2438,-0.027524003384004174,-0.013817956128973359,0.0005909830316564862,-0.009118655423675515,NO
ALL_TECHNICAL,CONFIRMED_TRANSITION,D0,10,CONTEMPORANEOUS_TRANSITION_CONDITIONED,Technical Signal + transition context,D0 separately reported; contemporaneous transition conditioned,YES,D0_SEPARATE_NOT_PREDICTIVE,42,42,42,37,20,14,20,0,0.04524712788551083,-0.00466309405117965,0.032731638357562966,0.47619047619047616,0.14810269624290542,0.09962264038729168,-0.06761199717857248,-0.0726817042606516,0.6190476190476191,0.7380952380952381,0.5185185185185185,0.2962962962962963,0.07407407407407407,0.25925925925925924,0.5925925925925926,0.0,2480,0.016935483870967744,2438,-0.01234271967283064,-0.02754638924568766,0.010808675424138076,-0.008291460358212516,NO
ALL_TECHNICAL,REFERENCE,ESTABLISHED_MAIN_RISE,5,REFERENCE,Prior-口徑/reference only,reference-only,NO,REFERENCE_ONLY,485,451,451,221,53,99,0,0,0.047847364065238956,0.028795811518324665,0.04199418273000137,0.5764966740576497,0.14175280011798042,0.10657193605683846,-0.05634801645850292,-0.048355899419729176,0.4789356984478936,0.7472283813747228,0.5872093023255814,0.3168604651162791,0.05232558139534884,0.4069767441860465,0.4738372093023256,0.0,2480,0.19556451612903225,1995,0.013719332524133938,0.01763037528325051,-0.000709989702013275,-0.0009523204035500332,NO
ALL_TECHNICAL,REFERENCE,ESTABLISHED_MAIN_RISE,10,REFERENCE,Prior-口徑/reference only,reference-only,NO,REFERENCE_ONLY,485,443,443,221,53,99,0,0,0.0733355527130967,0.036423841059602724,0.06402350090425309,0.5936794582392777,0.21087762372086818,0.16533333333333333,-0.08499252550026384,-0.0744336569579288,0.6027088036117382,0.8194130925507901,0.6005917159763313,0.34023668639053256,0.05325443786982249,0.4437869822485207,0.5325443786982249,0.0,2480,0.19556451612903225,1995,0.015745705154755235,0.013540545865094716,-0.006571852897553285,-0.010043413055489725,NO
ALL_TECHNICAL,REFERENCE,NON_MAIN_RISE_BASELINE,5,BASELINE,Prior-口徑/reference only,reference-only,NO,REFERENCE_ONLY,891,859,859,300,67,115,0,0,0.029903546787854826,0.004166666666666652,0.02054833422667618,0.5145518044237486,0.11656971548352488,0.0835509138381201,-0.05719470494357562,-0.0492307692307693,0.4959254947613504,0.6623981373690337,0.534453781512605,0.32100840336134456,0.05042016806722689,0.34789915966386553,0.47394957983193275,0.0,2480,0.3592741935483871,1589,-0.004224484753250192,-0.0069987695684075035,-0.0015566781870859775,-0.0018271902145901575,NO
ALL_TECHNICAL,REFERENCE,NON_MAIN_RISE_BASELINE,10,BASELINE,Prior-口徑/reference only,reference-only,NO,REFERENCE_ONLY,891,854,854,300,67,115,0,0,0.05016319439532616,0.016548630499662955,0.03863706554722994,0.5538641686182669,0.17037004743880071,0.12280701754385961,-0.07875385302744672,-0.06331127009982213,0.585480093676815,0.7775175644028103,0.5617597292724196,0.34686971235194586,0.05245346869712352,0.4027072758037225,0.5109983079526227,0.0,2480,0.3592741935483871,1589,-0.007426653163015308,-0.006334664694845053,-0.00033318042473616527,0.001078973802616956,NO
ALL_TECHNICAL,REFERENCE,TECHNICAL_ALONE_BASELINE,5,TECHNICAL_ALONE_BASELINE,Technical signal alone,reference-only,NO,REFERENCE_ONLY,2480,2358,2358,579,79,121,0,0,0.03412803154110502,0.011165436235074155,0.026064984550707267,0.5411365564037319,0.12168086755895345,0.09090909090909091,-0.05563802675648964,-0.04740357901617914,0.4775233248515691,0.6870229007633588,0.5599527466036621,0.3071470761961016,0.0448907265209687,0.3626698168930892,0.4524512699350266,0.0,2480,1.0,0,0.0,0.0,0.0,0.0,NO
ALL_TECHNICAL,REFERENCE,TECHNICAL_ALONE_BASELINE,10,TECHNICAL_ALONE_BASELINE,Technical signal alone,reference-only,NO,REFERENCE_ONLY,2480,2337,2337,579,79,121,0,0,0.05758984755834147,0.02288329519450801,0.04623899932484557,0.566538296961917,0.18096555548153093,0.12919463087248323,-0.07842067260271056,-0.06439024390243908,0.5849379546427044,0.7796320068463842,0.5843768634466309,0.3351222420989863,0.045915324985092425,0.4180083482409064,0.5050685748360167,0.0,2480,1.0,0,0.0,0.0,0.0,0.0,NO
A2,CANDIDATE_ONSET,D-3,5,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,4,4,4,4,4,4,4,0,0.07475106081627259,0.10298402048203403,0.07475106081627259,0.75,0.1407906430254891,0.14686663822856483,-0.01733556730073979,-0.015507195197316137,0.25,1.0,0.75,0.25,0.0,0.75,0.25,0.0,1725,0.002318840579710145,1721,0.04086297146874523,0.09112612771862949,0.03662889147768409,0.031320758617826405,YES
A2,CANDIDATE_ONSET,D-3,10,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,4,4,4,4,4,4,4,0,0.1821884064084614,0.1829287963745294,0.1821884064084614,1.0,0.24688249604128815,0.23399262616176353,-0.01733556730073979,-0.015507195197316137,0.25,1.0,0.75,0.25,0.0,0.75,0.25,0.0,1725,0.002318840579710145,1721,0.12471989521434451,0.16270962762594898,0.05776973078138607,0.0485627756481648,YES
A2,CANDIDATE_ONSET,D-2,5,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,6,6,6,6,5,4,5,0,0.08871949172471033,0.11142016806722688,0.08871949172471033,0.6666666666666666,0.1732728846999616,0.199641456582633,-0.020454166589274698,-0.026242085661080106,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.0,1725,0.0034782608695652175,1719,0.054831402377182974,0.09956227530382233,0.03351029218914918,0.020585868154062437,YES
A2,CANDIDATE_ONSET,D-2,10,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,6,6,6,6,5,4,5,0,0.04854062532482526,0.07027932960893857,0.04854062532482526,0.6666666666666666,0.18401051308464877,0.20773184357541896,-0.034138807112150484,-0.026242085661080106,0.3333333333333333,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,1725,0.0034782608695652175,1719,-0.008927885869291621,0.05006016086035814,0.04096649096997538,0.037827885184400833,YES
A2,CANDIDATE_ONSET,D-1,5,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,6,6,6,6,6,5,6,0,0.052722258832327194,0.008883803001450086,0.052722258832327194,0.6666666666666666,0.10142067414715661,0.07709298011789123,-0.012546684493974317,-0.028155879850795096,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,1725,0.0034782608695652175,1719,0.018834169484799837,-0.002974089761954457,0.041417774284449566,0.018672073964347446,YES
A2,CANDIDATE_ONSET,D-1,10,PRIMARY_PRETRANSITION,Technical Signal + transition context,signal-date-only; D-3/D-2/D-1 exclude all later transition evidence,NO,PASS_D0_SEPARATED,6,6,6,6,6,5,6,0,0.05397524680150114,0.026541264192509795,0.05397524680150114,0.6666666666666666,0.1591339871994527,0.09995044171514755,-0.017448645278288027,-0.028155879850795096,0.3333333333333333,1.0,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.0,1725,0.0034782608695652175,1719,-0.0034932643926157414,0.006322095443929365,0.05765665280383783,0.03591409099468584,YES
