diagnostic_group,horizon,N,EVALUABLE_N,mean_return,median_return,win_rate,DESCRIPTIVE_ONLY,formal_episode_semantics
FIRST_A2_DESCRIPTIVE,1,490,483,0.013358059710904903,0.005284015852047556,0.5383022774327122,True,NOT_FORMALLY_DEFINED
FIRST_A2_DESCRIPTIVE,3,490,466,0.016896545609707856,0.002680160875585152,0.5042918454935622,True,NOT_FORMALLY_DEFINED
FIRST_A2_DESCRIPTIVE,5,490,448,0.02552583303701897,0.0112451958928469,0.5446428571428571,True,NOT_FORMALLY_DEFINED
FIRST_A2_DESCRIPTIVE,10,490,409,0.0404407723753024,-0.001466275659824047,0.4938875305623472,True,NOT_FORMALLY_DEFINED
REPEATED_A2_DESCRIPTIVE,1,22,22,0.01286314557463177,-0.002290950744558992,0.45454545454545453,True,NOT_FORMALLY_DEFINED
REPEATED_A2_DESCRIPTIVE,3,22,22,0.021029019442109838,0.0045045045045045045,0.5,True,NOT_FORMALLY_DEFINED
REPEATED_A2_DESCRIPTIVE,5,22,20,0.03927921633392676,0.009171002838221382,0.55,True,NOT_FORMALLY_DEFINED
REPEATED_A2_DESCRIPTIVE,10,22,19,0.038332539667641025,0.03303303303303303,0.631578947368421,True,NOT_FORMALLY_DEFINED
