horizon,A1_N,A1_MEAN,A1_MEDIAN,A1_WIN_RATE,A2_N,A2_MEAN,A2_MEDIAN,A2_WIN_RATE,DIFFERENCE_MEAN_A1_MINUS_A2,DIFFERENCE_MEDIAN_A1_MINUS_A2,DIFFERENCE_WIN_RATE_A1_MINUS_A2
1,681,0.006237143832012744,0.0,0.4933920704845815,505,0.013336499095067261,0.004884004884004884,0.5346534653465347,-0.007099355263054517,-0.004884004884004884,-0.04126139486195318
3,649,0.013089157524164601,0.002881844380403458,0.5238828967642527,488,0.017082845659529257,0.002680160875585152,0.5040983606557377,-0.003993688135364656,0.0002016835048183059,0.01978453610851505
5,612,0.020637173727993056,0.003976158856636944,0.5294117647058824,468,0.026113584459963746,0.0112451958928469,0.5448717948717948,-0.00547641073197069,-0.007269037036209956,-0.015460030165912464
10,536,0.04758732410234259,0.011928476569910832,0.5764925373134329,428,0.04034718260556977,0.0006775067750677507,0.5,0.007240141496772823,0.011250969794843082,0.07649253731343286
