diagnostic_group,horizon,N,EVALUABLE_N,CENSORED_N,EVENT_EXCLUDED_N,mean_return,median_return,win_rate,POST_HOC_OUTCOME_DIAGNOSTIC_ONLY,NOT_A_FORMATION_RULE
A1_LATER_REACHES_A2,1,386,386,0,0,0.017538973662581822,0.005978632860161296,0.5906735751295337,True,True
A1_LATER_REACHES_A2,3,386,378,4,4,0.028987421428548283,0.008680581719538845,0.6243386243386243,True,True
A1_LATER_REACHES_A2,5,386,371,8,7,0.04285643343379024,0.013777267508610792,0.6307277628032345,True,True
A1_LATER_REACHES_A2,10,386,342,25,19,0.0844296647239991,0.037199498164240515,0.6666666666666666,True,True
A1_NO_LATER_A2_IN_WINDOW,1,314,295,13,6,-0.008551013166630185,-0.008726003490401396,0.36610169491525424,True,True
A1_NO_LATER_A2_IN_WINDOW,3,314,271,30,13,-0.009086280689329984,-0.011320754716981131,0.3837638376383764,True,True
A1_NO_LATER_A2_IN_WINDOW,5,314,241,46,27,-0.013567578765163601,-0.015046296296296295,0.37344398340248963,True,True
A1_NO_LATER_A2_IN_WINDOW,10,314,194,65,55,-0.01736154441624774,-0.015333377962243941,0.4175257731958763,True,True
