stage,old_l5_rows,v1_rows,v1_pct
DECLINING,2811,75,0.4615
FAIL_CLOSED,4750,0,0.0
FERMENTING,1642,3238,19.9262
INSUFFICIENT_DATA,1250,7750,47.6923
MAIN_RISE,3057,1306,8.0369
MATURE,1094,1321,8.1292
PENDING,1204,680,4.1846
SPROUTING,442,1880,11.5692
