from_stage,to_stage,transition_count
FERMENTING,MAIN_RISE,68
FERMENTING,SPROUTING,27
MAIN_RISE,FERMENTING,55
MAIN_RISE,MATURE,88
MATURE,DECLINING,4
MATURE,MAIN_RISE,68
SPROUTING,FERMENTING,28
