analysis_window,endpoint_condition,mae_condition,endpoint_positive_count,count,percentage,interpretation
H5,ENDPOINT_RETURN_GT_0,MAE_LE_NEG_3PCT,2514,756,0.30071599045346065,POSITIVE_ENDPOINT_ADVERSE_PATH; descriptive only; no exit semantics inferred
H5,ENDPOINT_RETURN_GT_0,MAE_LE_NEG_5PCT,2514,345,0.13723150357995226,POSITIVE_ENDPOINT_ADVERSE_PATH; descriptive only; no exit semantics inferred
H5,ENDPOINT_RETURN_GT_0,MAE_LE_NEG_8PCT,2514,116,0.046141607000795545,POSITIVE_ENDPOINT_ADVERSE_PATH; descriptive only; no exit semantics inferred
H5,ENDPOINT_RETURN_GT_0,MAE_LE_NEG_10PCT,2514,35,0.01392203659506762,POSITIVE_ENDPOINT_ADVERSE_PATH; descriptive only; no exit semantics inferred
H10,ENDPOINT_RETURN_GT_0,MAE_LE_NEG_3PCT,2587,1134,0.438345574023966,POSITIVE_ENDPOINT_ADVERSE_PATH; descriptive only; no exit semantics inferred
H10,ENDPOINT_RETURN_GT_0,MAE_LE_NEG_5PCT,2587,634,0.24507151140316968,POSITIVE_ENDPOINT_ADVERSE_PATH; descriptive only; no exit semantics inferred
H10,ENDPOINT_RETURN_GT_0,MAE_LE_NEG_8PCT,2587,264,0.10204870506378044,POSITIVE_ENDPOINT_ADVERSE_PATH; descriptive only; no exit semantics inferred
H10,ENDPOINT_RETURN_GT_0,MAE_LE_NEG_10PCT,2587,136,0.05257054503285659,POSITIVE_ENDPOINT_ADVERSE_PATH; descriptive only; no exit semantics inferred
