instrument,anchor_date,old_proxy_label,endpoint_T5,endpoint_T10,MFE5,MAE5,MFE10,MAE10,first_+5_day,first_-5_day,barrier_+5_vs_-5,corporate_action_status,regime_status,owner_label,owner_failure_subtype,owner_notes,owner_authority_status,source_owner_artifact
6654,2025-01-09,REVIEW_SUCCESS_PROXY,-0.03893214682981094,0.0011123470522802492,0.010011123470522687,-0.05005561735261399,0.023359288097886566,-0.05005561735261399,,3,NEGATIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
6416,2026-05-05,REVIEW_SUCCESS_PROXY,-0.038946162657502725,0.001145475372279492,0.008018327605956443,-0.050400916380297756,0.07101947308132872,-0.050400916380297756,8,4,NEGATIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
1476,2025-08-14,REVIEW_SUCCESS_PROXY,-0.013513513513513487,0.0012285012285011554,0.05651105651105648,-0.03685503685503688,0.05651105651105648,-0.03685503685503688,1,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
6643,2025-02-13,REVIEW_SUCCESS_PROXY,0.06561679790026242,0.001312335958005173,0.09448818897637801,-0.013123359580052507,0.09448818897637801,-0.034120734908136496,4,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
8150,2026-04-15,REVIEW_FAILURE_PROXY,0.19104477611940296,0.0,0.20447761194029845,-0.005970149253731405,0.20447761194029845,-0.04179104477611939,1,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
3630,2024-12-19,REVIEW_FAILURE_PROXY,0.11090909090909085,0.0,0.11090909090909085,-0.08727272727272717,0.11818181818181817,-0.08727272727272717,1,2,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
2472,2025-10-21,REVIEW_FAILURE_PROXY,0.10194174757281549,0.0,0.14563106796116498,-0.014563106796116498,0.14563106796116498,-0.024271844660194164,1,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
2467,2025-12-08,REVIEW_FAILURE_PROXY,0.08388520971302427,0.0,0.11037527593818974,-0.04194260485651213,0.11037527593818974,-0.04194260485651213,3,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
3443,2025-06-25,REVIEW_FAILURE_PROXY,0.08163265306122458,0.0,0.09795918367346945,-0.020408163265306145,0.09795918367346945,-0.020408163265306145,2,,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
6204,2025-10-20,REVIEW_FAILURE_PROXY,-0.011235955056179692,-0.05493133583021215,0.03245942571785276,-0.09737827715355807,0.08739076154806491,-0.09737827715355807,6,2,NEGATIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
8261,2025-07-18,REVIEW_FAILURE_PROXY,0.023391812865497075,-0.054970760233918115,0.05263157894736836,0.0011695906432747094,0.05263157894736836,-0.07485380116959073,1,8,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
3441,2024-12-25,REVIEW_FAILURE_PROXY,0.002617801047120283,-0.054973821989528826,0.09947643979057585,-0.002617801047120505,0.09947643979057585,-0.05628272251308919,1,10,POSITIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
6642,2026-02-23,REVIEW_FAILURE_PROXY,-0.01715265866209259,-0.054888507718696355,0.005145797598627766,-0.02572898799313894,0.005145797598627766,-0.07375643224699824,,6,NEGATIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
3556,2025-08-29,REVIEW_FAILURE_PROXY,-0.03125,-0.05500000000000005,0.006250000000000089,-0.06750000000000012,0.006250000000000089,-0.07250000000000001,,1,NEGATIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
2327,2025-08-05,REVIEW_FAILURE_PROXY,,,,,,,,,DATA_NOT_AVAILABLE_FAIL_CLOSED,SUPPRESSED_UNRESOLVED,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
8277,2025-11-13,REVIEW_FAILURE_PROXY,-0.3221884498480243,-0.5075987841945289,-0.009118541033434568,-0.3221884498480243,-0.009118541033434568,-0.5349544072948328,,1,NEGATIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
3055,2026-07-15,REVIEW_FAILURE_PROXY,-0.1424870466321243,-0.4637305699481865,0.041450777202072464,-0.2227979274611399,0.041450777202072464,-0.4637305699481865,,1,NEGATIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
3675,2026-07-06,REVIEW_FAILURE_PROXY,-0.26222222222222225,-0.40555555555555556,-0.004444444444444473,-0.2866666666666666,-0.004444444444444473,-0.42666666666666664,,1,NEGATIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,UNKNOWN_NO_PIT_SAFE_INDEX_BREADTH_PEER_DATA,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
6668,2025-03-28,REVIEW_FAILURE_PROXY,-0.2371323529411764,-0.38511029411764697,0.014705882352941346,-0.2371323529411764,0.014705882352941346,-0.4283088235294117,,1,NEGATIVE_BARRIER_FIRST,NOT_FLAGGED_IN_EXISTING_AUDIT,NOT_A_FOCUS_CASE_IN_EXISTING_AUDIT,,,,OWNER_INPUT_REQUIRED; fields intentionally blank,C:/Users/acer/.codex/worktrees/A2-MFE-MAE-Barrier-Race/reports/TASK-WS3-A2-OUTCOME-RECONSTRUCTION-FAILURE-ATTRIBUTION-20260821/owner-label-reconciliation-30-case.csv
