candidate_id,candidate_definition_version,threshold_semantics,threshold_value,expanded_a1_event_count,retained_event_count,retention_rate,resolved_cohort_n,success_cohort_n,failed_cohort_n,year_counts,market_counts,active_date_count,instrument_count,temporal_coverage,outlier_or_concentration,prior_n_ge_20_limitation_resolved,disposition
recent_20_high_proximity__UPPER_GE_Q30,frozen_a1_quality_candidate.v1,RAW_A1 AND recent_20_high_proximity >= TRAIN_DERIVED_Q30,-0.02684279376635195,14557,11221,0.7708319021776465,11060,10800,260,"{2024: 625, 2025: 7506, 2026: 3090}","{'TPE': 7642, 'TWO': 3579}",419,599,2024_PARTIAL|2025|2026_THROUGH_CANONICAL_END,"{'top_date_share': 0.009624810622939132, 'top_5_instrument_share': 0.04607432492647714}",True,READY_FOR_P2E
recent_20_high_proximity__UPPER_GE_Q40,frozen_a1_quality_candidate.v1,RAW_A1 AND recent_20_high_proximity >= TRAIN_DERIVED_Q40,-0.02413793103448276,14557,9620,0.6608504499553479,9485,9265,220,"{2024: 517, 2025: 6456, 2026: 2647}","{'TPE': 6522, 'TWO': 3098}",418,597,2024_PARTIAL|2025|2026_THROUGH_CANONICAL_END,"{'top_date_share': 0.00997920997920998, 'top_5_instrument_share': 0.05010395010395011}",True,READY_FOR_P2E
recent_20_high_proximity__UPPER_GE_Q50,frozen_a1_quality_candidate.v1,RAW_A1 AND recent_20_high_proximity >= TRAIN_DERIVED_Q50,-0.02147248243559719,14557,8020,0.5509376932060177,7925,7741,184,"{2024: 434, 2025: 5384, 2026: 2202}","{'TPE': 5442, 'TWO': 2578}",417,591,2024_PARTIAL|2025|2026_THROUGH_CANONICAL_END,"{'top_date_share': 0.010473815461346634, 'top_5_instrument_share': 0.05498753117206982}",True,READY_FOR_P2E
return_5d__LOWER_LE_Q60,frozen_a1_quality_candidate.v1,RAW_A1 AND return_5d <= TRAIN_DERIVED_Q60,0.07389330024813896,14557,11785,0.8095761489317854,11628,11395,233,"{2024: 673, 2025: 8106, 2026: 3006}","{'TPE': 8079, 'TWO': 3706}",418,595,2024_PARTIAL|2025|2026_THROUGH_CANONICAL_END,"{'top_date_share': 0.009249045396690709, 'top_5_instrument_share': 0.04582095884599067}",True,READY_FOR_P2E
true_range_pct__LOWER_LE_Q60,frozen_a1_quality_candidate.v1,RAW_A1 AND true_range_pct <= TRAIN_DERIVED_Q60,0.05599185750636132,14557,12419,0.8531290787937075,12244,12005,239,"{2024: 692, 2025: 8476, 2026: 3251}","{'TPE': 8556, 'TWO': 3863}",420,591,2024_PARTIAL|2025|2026_THROUGH_CANONICAL_END,"{'top_date_share': 0.009582091955874063, 'top_5_instrument_share': 0.04372332715999678}",True,READY_FOR_P2E
true_range_pct__LOWER_LE_Q70,frozen_a1_quality_candidate.v1,RAW_A1 AND true_range_pct <= TRAIN_DERIVED_Q70,0.06408819993349192,14557,13013,0.8939341897368963,12825,12545,280,"{2024: 720, 2025: 8789, 2026: 3504}","{'TPE': 8923, 'TWO': 4090}",420,595,2024_PARTIAL|2025|2026_THROUGH_CANONICAL_END,"{'top_date_share': 0.009298393913778529, 'top_5_instrument_share': 0.04180434949665719}",True,READY_FOR_P2E
recent_20_high_proximity__AND__true_range_pct,frozen_a1_quality_candidate.v1,RAW_A1 AND (recent_20_high_proximity__UPPER_GE_Q30) AND (true_range_pct__LOWER_LE_Q70); both features non-missing,,14557,10477,0.719722470289208,10327,10131,196,"{2024: 585, 2025: 7178, 2026: 2714}","{'TPE': 7231, 'TWO': 3246}",419,592,2024_PARTIAL|2025|2026_THROUGH_CANONICAL_END,"{'top_date_share': 0.010308294359072254, 'top_5_instrument_share': 0.04934618688555884}",True,READY_FOR_P2E
