stage,stage_definition,retained_observations,retention_pct_of_M0,successful_outcomes_T5_GE_3,failed_outcomes_T5_negative,T5_mean,T5_median,T10_mean,T10_median,owner_reference_available,owner_reference_preserved,owner_reference_preservation_pct,named_false_positive_remaining,named_false_positive_removed,future_outcomes_used_for_layer_decision
M0,"Prior 13,007 A-like failure cohort",13007,1.0,875,9743,-0.024255754183809642,-0.018181818181818188,-0.031209836094630614,-0.02648171500630514,42,0,0.0,2,0,NO
M1,M0 + frozen Close > MA60 global eligibility,5927,0.4556777120012301,389,4553,-0.029819240805422503,-0.022727272727272707,-0.036867606469162845,-0.032558139534883734,42,6,0.14285714285714285,1,1,NO
M2,M1 + constructive environment,5363,0.4123164449911586,359,4102,-0.03023820563871585,-0.022950819672131084,-0.03699526900578966,-0.03276836158192098,42,6,0.14285714285714285,1,1,NO
M3,M2 + descriptive base/range evidence,4976,0.38256323518105634,328,3789,-0.029433269157005417,-0.022421945137157118,-0.03599779727654322,-0.03213826661770108,42,5,0.11904761904761904,1,1,NO
M4,M3 + existing breakout evidence/attempt,3029,0.23287460598139464,204,2296,-0.03035840317473643,-0.023035230352303593,-0.03588924134420603,-0.03262233375156853,42,4,0.09523809523809523,0,2,NO
M5,M4 + existing robust/promising boolean quality signal state,2600,0.19989236564926577,185,1953,-0.029404553082670745,-0.02246349996635938,-0.035694253799880275,-0.032719973235195654,42,3,0.07142857142857142,0,2,NO
