study,horizon,group,sample_size,instrument_count,topic_count,date_count,mean_forward_return,trimmed5_mean_forward_return,earlier_sample_size,later_sample_size,earlier_mean_forward_return,later_mean_forward_return,later_minus_earlier,top1_instrument_share,top1_topic_share,top1_date_share,status,sample_warning,promotion_decision
ROBUSTNESS_AND_BASELINES,3,TECHNICAL:UNKNOWN,0,0,0,0,,,0,0,,,,,,,DESCRIPTIVE_ONLY,SMALL_SAMPLE;TIME_SPLIT_SAMPLE_WARNING,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,5,UNCONDITIONAL,2804,468,99,114,0.0371054711248,0.0289020550477,1758,1046,0.0467177076197,0.02095029736,-0.0257674102597,0.00855920114123,0.0830955777461,0.0349500713267,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,5,LIFECYCLE:SPROUTING,119,86,12,45,0.0304449235501,0.0213148909488,94,25,0.0359296735867,0.00982226341253,-0.0261074101742,0.0420168067227,0.243697478992,0.0756302521008,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,5,LIFECYCLE:FERMENTING,627,247,35,97,0.0421185636014,0.030498820698,363,264,0.0436089434644,0.0400692912898,-0.00353965217456,0.0191387559809,0.307814992026,0.0287081339713,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,5,LIFECYCLE:MAIN_RISE,889,291,61,97,0.0424998832681,0.0357305521226,492,397,0.0658297514962,0.0135873009803,-0.0522424505159,0.0179977502812,0.095613048369,0.07424071991,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,5,LIFECYCLE:MATURE,304,176,42,73,0.0403027026102,0.0343586298016,212,92,0.0546413458554,0.00726148121897,-0.0473798646364,0.0296052631579,0.174342105263,0.0460526315789,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,5,LIFECYCLE:DECLINING,436,178,43,92,0.0225575682555,0.0153919509116,242,194,0.0285220283077,0.0151173655099,-0.0134046627979,0.0183486238532,0.229357798165,0.0366972477064,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,5,TECHNICAL:ABOVE_MA60,2804,468,99,114,0.0371054711248,0.0289020550477,1758,1046,0.0467177076197,0.02095029736,-0.0257674102597,0.00855920114123,0.0830955777461,0.0349500713267,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,5,TECHNICAL:AT_MA60,0,0,0,0,,,0,0,,,,,,,DESCRIPTIVE_ONLY,SMALL_SAMPLE;TIME_SPLIT_SAMPLE_WARNING,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,5,TECHNICAL:BELOW_MA60,0,0,0,0,,,0,0,,,,,,,DESCRIPTIVE_ONLY,SMALL_SAMPLE;TIME_SPLIT_SAMPLE_WARNING,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,5,TECHNICAL:UNKNOWN,0,0,0,0,,,0,0,,,,,,,DESCRIPTIVE_ONLY,SMALL_SAMPLE;TIME_SPLIT_SAMPLE_WARNING,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,10,UNCONDITIONAL,2677,460,99,109,0.0637864865333,0.0522907643419,1748,929,0.0854329242474,0.0230566984556,-0.0623762257919,0.00896525961898,0.0847964138962,0.0358610384759,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,10,LIFECYCLE:SPROUTING,112,81,11,40,0.0338822406302,0.0239938612119,94,18,0.0580462330172,-0.0923074973911,-0.150353730408,0.0446428571429,0.232142857143,0.0803571428571,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,10,LIFECYCLE:FERMENTING,611,245,35,93,0.0677840072788,0.0538994789322,361,250,0.0799501160646,0.0502161461921,-0.0297339698725,0.0196399345336,0.310965630115,0.0294599018003,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,10,LIFECYCLE:MAIN_RISE,826,281,61,92,0.0657957512612,0.0551745662452,487,339,0.104862581253,0.00967319608153,-0.0951893851713,0.0193704600484,0.102905569007,0.0774818401937,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,10,LIFECYCLE:MATURE,292,168,39,68,0.0867874724399,0.0780196987387,212,80,0.104203398052,0.0406352695668,-0.0635681284857,0.0308219178082,0.181506849315,0.0479452054795,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,10,LIFECYCLE:DECLINING,416,171,42,88,0.0488761921162,0.0426316128682,241,175,0.0780382052533,0.00871593402463,-0.0693222712287,0.0192307692308,0.240384615385,0.0384615384615,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,10,TECHNICAL:ABOVE_MA60,2677,460,99,109,0.0637864865333,0.0522907643419,1748,929,0.0854329242474,0.0230566984556,-0.0623762257919,0.00896525961898,0.0847964138962,0.0358610384759,DESCRIPTIVE_ONLY,NONE,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,10,TECHNICAL:AT_MA60,0,0,0,0,,,0,0,,,,,,,DESCRIPTIVE_ONLY,SMALL_SAMPLE;TIME_SPLIT_SAMPLE_WARNING,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,10,TECHNICAL:BELOW_MA60,0,0,0,0,,,0,0,,,,,,,DESCRIPTIVE_ONLY,SMALL_SAMPLE;TIME_SPLIT_SAMPLE_WARNING,DEFER_TO_C2
ROBUSTNESS_AND_BASELINES,10,TECHNICAL:UNKNOWN,0,0,0,0,,,0,0,,,,,,,DESCRIPTIVE_ONLY,SMALL_SAMPLE;TIME_SPLIT_SAMPLE_WARNING,DEFER_TO_C2
BASELINE_CANDIDATE,1,GRADE_ONLY,0,0,0,0,,,0,0,,,,,,,DEFERRED,PIT Grade history unavailable,DEFER
BASELINE_CANDIDATE,3,GRADE_ONLY,0,0,0,0,,,0,0,,,,,,,DEFERRED,PIT Grade history unavailable,DEFER
BASELINE_CANDIDATE,5,GRADE_ONLY,0,0,0,0,,,0,0,,,,,,,DEFERRED,PIT Grade history unavailable,DEFER
BASELINE_CANDIDATE,10,GRADE_ONLY,0,0,0,0,,,0,0,,,,,,,DEFERRED,PIT Grade history unavailable,DEFER
BASELINE_CANDIDATE,1,GRADE_LIFECYCLE,0,0,0,0,,,0,0,,,,,,,DEFERRED,PIT Grade history unavailable,DEFER
BASELINE_CANDIDATE,3,GRADE_LIFECYCLE,0,0,0,0,,,0,0,,,,,,,DEFERRED,PIT Grade history unavailable,DEFER
BASELINE_CANDIDATE,5,GRADE_LIFECYCLE,0,0,0,0,,,0,0,,,,,,,DEFERRED,PIT Grade history unavailable,DEFER
BASELINE_CANDIDATE,10,GRADE_LIFECYCLE,0,0,0,0,,,0,0,,,,,,,DEFERRED,PIT Grade history unavailable,DEFER
BASELINE_CANDIDATE,1,SIMPLE_LOGISTIC,0,0,0,0,,,0,0,,,,,,,DEFERRED,No Grade/regime feature contract; do not fit a proxy,DEFER
BASELINE_CANDIDATE,3,SIMPLE_LOGISTIC,0,0,0,0,,,0,0,,,,,,,DEFERRED,No Grade/regime feature contract; do not fit a proxy,DEFER
BASELINE_CANDIDATE,5,SIMPLE_LOGISTIC,0,0,0,0,,,0,0,,,,,,,DEFERRED,No Grade/regime feature contract; do not fit a proxy,DEFER
BASELINE_CANDIDATE,10,SIMPLE_LOGISTIC,0,0,0,0,,,0,0,,,,,,,DEFERRED,No Grade/regime feature contract; do not fit a proxy,DEFER
BASELINE_CANDIDATE,1,SIMPLE_LINEAR,0,0,0,0,,,0,0,,,,,,,DEFERRED,C1 remains descriptive until full feature contract is available,DEFER
BASELINE_CANDIDATE,3,SIMPLE_LINEAR,0,0,0,0,,,0,0,,,,,,,DEFERRED,C1 remains descriptive until full feature contract is available,DEFER
BASELINE_CANDIDATE,5,SIMPLE_LINEAR,0,0,0,0,,,0,0,,,,,,,DEFERRED,C1 remains descriptive until full feature contract is available,DEFER
BASELINE_CANDIDATE,10,SIMPLE_LINEAR,0,0,0,0,,,0,0,,,,,,,DEFERRED,C1 remains descriptive until full feature contract is available,DEFER
