market_code,instrument_code,instrument_name,instrument_type,currency,enabled,listing_status,valid_from,valid_to,identity_source,provenance_class,owner_review_required
TPE,1101,台泥,EQUITY,TWD,TRUE,ACTIVE,,,expansion-reference-normalized-candidates.csv,OWNER_APPROVED_EXPANSION_ONLY,FALSE
TPE,1301,台塑,EQUITY,TWD,TRUE,ACTIVE,,,expansion-reference-normalized-candidates.csv,OWNER_APPROVED_EXPANSION_ONLY,FALSE
TPE,1303,南亞,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1304,台聚,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1314,中石化,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1319,東陽,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1326,台化,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1342,八貫,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1402,遠東新,EQUITY,TWD,TRUE,ACTIVE,,,expansion-reference-normalized-candidates.csv,OWNER_APPROVED_EXPANSION_ONLY,FALSE
TPE,1438,三地開發,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1451,年興,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1474,弘裕,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1476,儒鴻,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1477,聚陽,EQUITY,TWD,TRUE,ACTIVE,,,expansion-reference-normalized-candidates.csv,OWNER_APPROVED_EXPANSION_ONLY,FALSE
TPE,1503,士電,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1504,東元,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1513,中興電,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1514,亞力,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1515,力山,EQUITY,TWD,TRUE,ACTIVE,,,expansion-reference-normalized-candidates.csv,OWNER_APPROVED_EXPANSION_ONLY,FALSE
TPE,1519,華城,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1536,和大,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1537,廣隆,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1563,巧新,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1568,倉佑,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1590,亞德客-KY,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1597,直得,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1605,華新,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1609,大亞,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1611,中電,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1612,宏泰,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
TPE,1708,東鹼,EQUITY,TWD,TRUE,ACTIVE,,,reports/TASK-WS1-INSTRUMENT-MASTER-V1-CANONICAL-UNIVERSE-UNIFICATION-20260824/legacy-507-instruments.json;instrument_topic_memberships.csv,LEGACY_REFERENCE_AND_OWNER_MEMBERSHIP,FALSE
